receipt_id,path,required_for_gate16_receipt,expected_row_count,actual_row_count,expected_sha256,actual_sha256,sha256_match,row_count_match,blocked_use_has_forbidden_tokens,receipt_status,allowed_use,blocked_use
G16A-RECEIPT-001,full_chip/dwg_analysis/build_gate15_sidewall_clean_reintake_and_producer_preflight_20260630.py,false,NA,NA,d4a771f4fc06daf23692d911351fb470d3254dd021ff91c8a3906e4ea46ef72c,d4a771f4fc06daf23692d911351fb470d3254dd021ff91c8a3906e4ea46ef72c,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-002,full_chip/dwg_analysis/validate_gate15_sidewall_clean_reintake_and_producer_preflight_20260630.py,false,NA,NA,c7d896bc4f03f48b29c3b6cceb40cd7c177019879b245b5ab869c24b327732e7,c7d896bc4f03f48b29c3b6cceb40cd7c177019879b245b5ab869c24b327732e7,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-003,roadmap/COMSOL_GATE15_SIDEWALL_CLEAN_REINTAKE_AND_PRODUCER_PREFLIGHT_PACKET_20260630.md,false,NA,NA,7e542f311ed86962449e1b53111df8dd9303c6c8836a5a61eb0ee9ee433524c6,7e542f311ed86962449e1b53111df8dd9303c6c8836a5a61eb0ee9ee433524c6,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-004,roadmap/COMSOL_GATE15_STATUS_20260630.json,true,NA,NA,66bd7478c44b148813ea64b8fdfdaf1ee244ac379feccc0fcc4bbb4b1b5c5fc2,66bd7478c44b148813ea64b8fdfdaf1ee244ac379feccc0fcc4bbb4b1b5c5fc2,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-005,roadmap/COMSOL_GATE15_GATE14_BASELINE_RECEIPT_20260630.csv,false,9,9,a302a94a3206112fcdcc1cf508003bd37596b5d5fc8097be46aca2f5d4aada79,a302a94a3206112fcdcc1cf508003bd37596b5d5fc8097be46aca2f5d4aada79,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-006,roadmap/COMSOL_GATE15_NODI_CLEAN_REINTAKE_20260630.csv,true,21,21,f3fc5115d25149cfcbcc1d5d701cdaadc650c52ace7eea6ae2e7bdfefdd2b509,f3fc5115d25149cfcbcc1d5d701cdaadc650c52ace7eea6ae2e7bdfefdd2b509,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-007,roadmap/COMSOL_GATE15_GATE14_STALE_INTAKE_CLOSURE_V2_20260630.csv,true,1,1,83195990e5e443510ec92397e27debeeb1e3aebfea1648d489e085f728370d19,83195990e5e443510ec92397e27debeeb1e3aebfea1648d489e085f728370d19,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-008,roadmap/COMSOL_GATE15_NODI_PRODUCER_REQUEST_RESPONSE_20260630.csv,false,8,8,28272eee0e94074223aa25518e42d84811d435fe36dea3a95a13a71d00b2fab1,28272eee0e94074223aa25518e42d84811d435fe36dea3a95a13a71d00b2fab1,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-009,roadmap/COMSOL_GATE15_PRODUCER_PREFLIGHT_EXPORT_V4_20260630.csv,true,432,432,8a060f80b27ab4a8b934f55301a3045a71fea8968dafc147962fa719f8d6f9a7,8a060f80b27ab4a8b934f55301a3045a71fea8968dafc147962fa719f8d6f9a7,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
G16A-RECEIPT-010,roadmap/COMSOL_GATE15_SOURCE_HASH_CLOSURE_LEDGER_20260630.csv,false,7,7,d4216e0d7751f578be677cb262b9a0416f2e0ca59b55457003eb47c8ef4ea8ab,d4216e0d7751f578be677cb262b9a0416f2e0ca59b55457003eb47c8ef4ea8ab,true,true,true,MATCH,review-only/no-auth Gate15 sidewall reintake and static preflight package,runtime;production;JRC;q_ch weighting;flow split;yield;winner;detection_probability;evidence acceptance;COMSOL solver claim
