anchor_field,anchor_value,semantic_digest_included,auth_impact
anchor_id,NODI_SIDEWALL_CURRENT_RELEASE_ANCHOR_V1_20260630,false,none_no_auth
semantic_base_head,454d2462d101b6934945bce95884104e0eeb67ce,true,none_no_auth
anchor_build_head,454d2462d101b6934945bce95884104e0eeb67ce,false,none_no_auth
anchor_package_expected_successor_policy,CLEAN_SUCCESSOR_ALLOWED_FOR_ANCHOR_REPORT_SIDECAR_TEST_ONLY_NO_GUARDED_SEMANTIC_CHANGE,false,none_no_auth
anchor_manifest_sha256,SELF_REFERENTIAL_MANIFEST_SHA_EXCLUDED_FROM_ANCHOR_SEMANTIC_DIGEST_SEE_MANIFEST_SIDECAR,false,none_no_auth
semantic_digest_sha256,4255d9533a8d150d6a740d03ead267323e868b5560b7051ce5d5ccc0ed3c2c16,false,none_no_auth
clean_successor_allowed,true,false,none_no_auth
worktree_clean_required,true,false,none_no_auth
unknown_dirty_blocks_release,true,false,none_no_auth
self_referential_commit_hash_excluded_from_semantic_digest,true,false,none_no_auth
comsol_consumption_rule,consume release anchor plus semantic digest and clean worktree proof; do not require build_head to equal package commit head,false,none_no_auth
gate2d_rows,4,true,none_no_auth
edge_state,NOT_APPROVED_PREAUTH_ONLY,true,none_no_auth
qch_state,ABSENT,true,none_no_auth
binding_state,FAIL_CLOSED,true,none_no_auth
