manifest_id,path,row_count,sha256,allowed_use,blocked_use,policy_impact
G20-MANIFEST-001,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_INDEPENDENT_REVIEW_INTAKE_20260630.csv,1,b947830ce443190c169d7f9f505641b9fadd06e1a18a8379bd151e6a2cf57838,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-002,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_GATE19_SOURCE_LOCK_20260630.csv,6,c4ef7bf796bf127ed70fc873e65295b873fb8fd819458f98c369f72e69f5cbdf,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-003,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_ABD_HARD_FAIL_VALIDATOR_SURFACE_20260630.csv,29,d1b07be4d1fd34e59143c35a31d8381ab3e37c41ba14c4379a3a701296ae9454,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-004,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_PACKAGE_C_BLOCKED_LEDGER_20260630.csv,1,8cda69b83364b6ef9c387a2d8c7bd0cd487ddd37166fa1bce0767df60ae10f43,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-005,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_POST_GATE16_HEAD_ADVANCE_20260630.csv,3,d2d354c76fdf2ca93b6f28fdd4018550377ebfde011472b846a6170e70134935,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-006,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_NO_AUTH_FIREWALL_20260630.csv,1,3c90db2a6751a06ad4bce5d1f40ec5afb95803ae290d2677f77d3ee6639e409e,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-007,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_VALIDATION_PLAN_20260630.csv,5,7ca93872a0d71038c5c2bc9b47b96ba65adc3e349c3c952556c77fe9a834d93d,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-008,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_REPORT_20260630.json,NA,451bd38ddbde986f369e46d387b15412c3a30f045aa76dd913305d6672d47760,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-009,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_STATUS_20260630.json,NA,19fefb53fff8daf9cf948868f8c74d6e31460c3b42a88e56feffb962b430a928,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G20-MANIFEST-010,reports/joint_interface_20260630/NODI_COMSOL_GATE20_SIDEWALL_STATIC_CONTINUITY_REPORT_20260630.md,NA,50959b0ae98cd0b7cad13d01face33a644e4d19f14503b6fc2ea5d130dda73e0,review-only Gate19-to-Gate20 static continuity;A/B/D hard-fail validator readiness;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
