fixture_id,family_id,package,hard_fail_code,fixture_variant,mutation_intent,expected_validator_issue,expected_result,artifact_status_after_scan,sidewall_aware_runtime_status_after_scan,runtime_allowed,production_allowed,sidewall_numeric_output_allowed,claim_promotion_allowed,not_evidence,allowed_use,blocked_use
G21C-FIXTURE-001-01,G21B-FAMILY-001,Package A,missing_angle_convention,direct_violation,minimal negative row mutates the named hard-fail trigger,missing_angle_convention,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-001-02,G21B-FAMILY-001,Package A,missing_angle_convention,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,missing_angle_convention,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-001-03,G21B-FAMILY-001,Package A,missing_angle_convention,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,missing_angle_convention,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-002-01,G21B-FAMILY-002,Package A,angle_conversion_mismatch,direct_violation,minimal negative row mutates the named hard-fail trigger,angle_conversion_mismatch,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-002-02,G21B-FAMILY-002,Package A,angle_conversion_mismatch,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,angle_conversion_mismatch,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-002-03,G21B-FAMILY-002,Package A,angle_conversion_mismatch,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,angle_conversion_mismatch,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-003-01,G21B-FAMILY-003,Package A,bare_W_top_runtime_binding,direct_violation,minimal negative row mutates the named hard-fail trigger,bare_W_top_runtime_binding,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-003-02,G21B-FAMILY-003,Package A,bare_W_top_runtime_binding,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,bare_W_top_runtime_binding,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-003-03,G21B-FAMILY-003,Package A,bare_W_top_runtime_binding,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,bare_W_top_runtime_binding,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-004-01,G21B-FAMILY-004,Package A,silent_bottom_clip,direct_violation,minimal negative row mutates the named hard-fail trigger,silent_bottom_clip,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-004-02,G21B-FAMILY-004,Package A,silent_bottom_clip,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,silent_bottom_clip,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-004-03,G21B-FAMILY-004,Package A,silent_bottom_clip,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,silent_bottom_clip,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-005-01,G21B-FAMILY-005,Package A,nonpositive_bottom_marked_open,direct_violation,minimal negative row mutates the named hard-fail trigger,nonpositive_bottom_marked_open,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-005-02,G21B-FAMILY-005,Package A,nonpositive_bottom_marked_open,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,nonpositive_bottom_marked_open,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-005-03,G21B-FAMILY-005,Package A,nonpositive_bottom_marked_open,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,nonpositive_bottom_marked_open,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-006-01,G21B-FAMILY-006,Package A,missing_closure_policy,direct_violation,minimal negative row mutates the named hard-fail trigger,missing_closure_policy,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-006-02,G21B-FAMILY-006,Package A,missing_closure_policy,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,missing_closure_policy,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-006-03,G21B-FAMILY-006,Package A,missing_closure_policy,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,missing_closure_policy,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-007-01,G21B-FAMILY-007,Package A,min_aperture_used_as_passability,direct_violation,minimal negative row mutates the named hard-fail trigger,min_aperture_used_as_passability,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-007-02,G21B-FAMILY-007,Package A,min_aperture_used_as_passability,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,min_aperture_used_as_passability,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-007-03,G21B-FAMILY-007,Package A,min_aperture_used_as_passability,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,min_aperture_used_as_passability,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-008-01,G21B-FAMILY-008,Package A,measured_geometry_without_profile,direct_violation,minimal negative row mutates the named hard-fail trigger,measured_geometry_without_profile,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-008-02,G21B-FAMILY-008,Package A,measured_geometry_without_profile,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,measured_geometry_without_profile,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-008-03,G21B-FAMILY-008,Package A,measured_geometry_without_profile,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,measured_geometry_without_profile,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-009-01,G21B-FAMILY-009,Package A,source_hash_missing_for_comsol_context,direct_violation,minimal negative row mutates the named hard-fail trigger,source_hash_missing_for_comsol_context,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-009-02,G21B-FAMILY-009,Package A,source_hash_missing_for_comsol_context,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,source_hash_missing_for_comsol_context,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-009-03,G21B-FAMILY-009,Package A,source_hash_missing_for_comsol_context,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,source_hash_missing_for_comsol_context,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-010-01,G21B-FAMILY-010,Package A,claim_boundary_missing,direct_violation,minimal negative row mutates the named hard-fail trigger,claim_boundary_missing,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-010-02,G21B-FAMILY-010,Package A,claim_boundary_missing,alias_or_claim_promotion_probe,nearby alias/proxy name tests claim-promotion scanner drift,claim_boundary_missing,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-010-03,G21B-FAMILY-010,Package A,claim_boundary_missing,signature_or_source_drift_probe,cache/source/signature identity changes without matching row fields,claim_boundary_missing,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G21C-FIXTURE-011-01,G21B-FAMILY-011,Package B,trapezoid_runtime_without_geometry_primitive,direct_violation,minimal negative row mutates the named hard-fail trigger,trapezoid_runtime_without_geometry_primitive,FAIL_CLOSED_OR_BLOCKED_AUDIT,blocked,not_sidewall_runtime_result,false,false,false,false,true,review-only Gate20-to-Gate21 negative mutation scanner;A/B/D hard-fail fixture audit;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
