source_lock_id,source_gate,path,expected_row_count,actual_row_count,expected_sha256,actual_sha256,sha256_match,row_count_match,lock_status,allowed_use,blocked_use
G23A-GATE22-001,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_GATE21_SOURCE_LOCK_20260630.csv,9,9,68f4b68a6315710d728f94fe2d0b4b4c6970ad9d9301e2a3411fc093969d4f42,68f4b68a6315710d728f94fe2d0b4b4c6970ad9d9301e2a3411fc093969d4f42,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-002,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_VALIDATOR_BINDING_MATRIX_20260630.csv,29,29,12ce60a90107be7bccdcfa479cba7482e16d0b17c5ae26da6dcd4a46eef85be0,12ce60a90107be7bccdcfa479cba7482e16d0b17c5ae26da6dcd4a46eef85be0,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-003,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_PYTEST_COVERAGE_MATRIX_20260630.csv,29,29,cbcf5597cf1e008052cc627e4fa7ff8fbf6a96828bf4164f2c1c29feacf10d9e,cbcf5597cf1e008052cc627e4fa7ff8fbf6a96828bf4164f2c1c29feacf10d9e,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-004,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_CONTRACT_PATCH_QUEUE_20260630.csv,29,29,f3104dc938ef144bf29a4775cbe1284650c0c473f0ca0db0e5cc6a7f3946c9a2,f3104dc938ef144bf29a4775cbe1284650c0c473f0ca0db0e5cc6a7f3946c9a2,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-005,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_FIXTURE_EXECUTION_READINESS_20260630.csv,4,4,1b9468df6dbf1f3f4324527986a848260f57323542faf1e4b64af0231630b2c8,1b9468df6dbf1f3f4324527986a848260f57323542faf1e4b64af0231630b2c8,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-006,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_PACKAGE_C_AND_NO_AUTH_FIREWALL_20260630.csv,1,1,44130ade0fa64da15e390c65daadfa7d2688506cf55c662f8b02c6c46bf2ea16,44130ade0fa64da15e390c65daadfa7d2688506cf55c662f8b02c6c46bf2ea16,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-007,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_VALIDATION_PLAN_20260630.csv,5,5,1e675e429f65cf20139b4f43495b2e0f9b49395e3302bc7e9da30e35dad7a4a6,1e675e429f65cf20139b4f43495b2e0f9b49395e3302bc7e9da30e35dad7a4a6,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-008,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_REPORT_20260630.json,NA,NA,bb5edb3626d2c358b51e2068dc228cae5ce946d85cf22635afbb151607829b5a,bb5edb3626d2c358b51e2068dc228cae5ce946d85cf22635afbb151607829b5a,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-009,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_STATUS_20260630.json,NA,NA,8b97bff9cbe8efe030a62980faf1fc9a39226e3eab68da44d1044bc4e15c619e,8b97bff9cbe8efe030a62980faf1fc9a39226e3eab68da44d1044bc4e15c619e,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
G23A-GATE22-010,Gate22,reports/joint_interface_20260630/NODI_COMSOL_GATE22_SIDEWALL_VALIDATOR_BINDING_REPORT_20260630.md,NA,NA,d0fbdc8f26a5fc0cb470e73e3e279a01caaad39efe8479fe010aed92a3aeb634,d0fbdc8f26a5fc0cb470e73e3e279a01caaad39efe8479fe010aed92a3aeb634,true,true,MATCH,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization
