manifest_id,path,row_count,sha256,allowed_use,blocked_use,policy_impact
G23-MANIFEST-001,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_GATE22_SOURCE_LOCK_20260630.csv,10,f0cc66353029742ab7dbbf1ceab874f61c1aed654deb61a39444447671c30714,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-002,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_STATIC_FIXTURE_EXECUTION_MATRIX_20260630.csv,29,eb57f057b30eb876fe5403d72c3e897dd21f2fa117eb75b774d46c1e9357e3a2,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-003,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_VALIDATOR_CLI_BOUNDARY_MATRIX_20260630.csv,3,9fd4b0674b8de409b191097f9e748e732bcef821a2c93abd4c0f437cffb2aa52,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-004,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_PACKAGE_C_PROOF_FAIL_CLOSED_LOCK_20260630.csv,2,26b2a3d629ed96c4a11a1cebc39bf1aa756973975ccb0f5dcf9eb7dc61416f22,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-005,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_NO_AUTH_FIREWALL_20260630.csv,1,234e3c2dc81f6517a5ad0a28d97914cbc78b6565fb38d5cb85da1085e8c2d673,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-006,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_FUTURE_AUTHORIZATION_BLOCKERS_20260630.csv,5,8e91cd1dab5d5858efcbb599bbd909abc3291d4e948fada55d5243245aa7562b,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-007,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_VALIDATION_PLAN_20260630.csv,5,1f88954da53d021a7e123d2f989e7f208852fe2ccf17adc2d4356e23a3885ddb,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-008,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_REPORT_20260630.json,NA,c688721810cecb83d60a48c4d5c6a611868e4bf2559e29b7db0f5f155560655f,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-009,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_STATUS_20260630.json,NA,54026da17ea16121df26baa82cc991cd0b1fa61228dc3ca18f0d14ee1e0455ad,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
G23-MANIFEST-010,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_STATIC_FIXTURE_EXECUTION_REPORT_20260630.md,NA,b9743b0d0ffe88a800c713885261027294aa92eae743c7a7c3be897e4b8a2daf,review-only Gate22-to-Gate23 static executable fixture packet;no-run no-auth,q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;route_score;rank;JOINT_ROUTE_CLASS;JRC;yield;winner;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;runtime configuration;production ingestion;formula use;direct PRS bin;grain-level ingestion;sidewall PRS/EAS numeric output;validated Brownian/flow/optical/wet physics;COMSOL launch;.mph load;NODI runtime recomputation;Package C physics authorization,none_no_auth
