source_lock_id,source_gate,path,expected_row_count,actual_row_count,expected_sha256,actual_sha256,sha256_match,row_count_match,lock_status,allowed_use,blocked_use
G24A-GATE23-001,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_GATE22_SOURCE_LOCK_20260630.csv,10,10,f0cc66353029742ab7dbbf1ceab874f61c1aed654deb61a39444447671c30714,f0cc66353029742ab7dbbf1ceab874f61c1aed654deb61a39444447671c30714,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-002,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_STATIC_FIXTURE_EXECUTION_MATRIX_20260630.csv,29,29,eb57f057b30eb876fe5403d72c3e897dd21f2fa117eb75b774d46c1e9357e3a2,eb57f057b30eb876fe5403d72c3e897dd21f2fa117eb75b774d46c1e9357e3a2,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-003,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_VALIDATOR_CLI_BOUNDARY_MATRIX_20260630.csv,3,3,9fd4b0674b8de409b191097f9e748e732bcef821a2c93abd4c0f437cffb2aa52,9fd4b0674b8de409b191097f9e748e732bcef821a2c93abd4c0f437cffb2aa52,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-004,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_PACKAGE_C_PROOF_FAIL_CLOSED_LOCK_20260630.csv,2,2,26b2a3d629ed96c4a11a1cebc39bf1aa756973975ccb0f5dcf9eb7dc61416f22,26b2a3d629ed96c4a11a1cebc39bf1aa756973975ccb0f5dcf9eb7dc61416f22,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-005,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_NO_AUTH_FIREWALL_20260630.csv,1,1,234e3c2dc81f6517a5ad0a28d97914cbc78b6565fb38d5cb85da1085e8c2d673,234e3c2dc81f6517a5ad0a28d97914cbc78b6565fb38d5cb85da1085e8c2d673,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-006,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_FUTURE_AUTHORIZATION_BLOCKERS_20260630.csv,5,5,8e91cd1dab5d5858efcbb599bbd909abc3291d4e948fada55d5243245aa7562b,8e91cd1dab5d5858efcbb599bbd909abc3291d4e948fada55d5243245aa7562b,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-007,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_VALIDATION_PLAN_20260630.csv,5,5,1f88954da53d021a7e123d2f989e7f208852fe2ccf17adc2d4356e23a3885ddb,1f88954da53d021a7e123d2f989e7f208852fe2ccf17adc2d4356e23a3885ddb,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-008,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_REPORT_20260630.json,NA,NA,c688721810cecb83d60a48c4d5c6a611868e4bf2559e29b7db0f5f155560655f,c688721810cecb83d60a48c4d5c6a611868e4bf2559e29b7db0f5f155560655f,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-009,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_STATUS_20260630.json,NA,NA,54026da17ea16121df26baa82cc991cd0b1fa61228dc3ca18f0d14ee1e0455ad,54026da17ea16121df26baa82cc991cd0b1fa61228dc3ca18f0d14ee1e0455ad,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
G24A-GATE23-010,Gate23,reports/joint_interface_20260630/NODI_COMSOL_GATE23_SIDEWALL_STATIC_FIXTURE_EXECUTION_REPORT_20260630.md,NA,NA,b9743b0d0ffe88a800c713885261027294aa92eae743c7a7c3be897e4b8a2daf,b9743b0d0ffe88a800c713885261027294aa92eae743c7a7c3be897e4b8a2daf,true,true,MATCH,review-only sidewall Package C future authorization ledger;no-run no-auth,Package C physics authorization;proof registry update;trajectory boundary physics;near-wall diffusion;wall-distance PRS numeric output;trapezoid flow;flux-weighted sampling;electrokinetic grid;optical solver output;sidewall PRS/EAS numeric output;runtime configuration;production ingestion;NODI runtime recomputation;COMSOL launch;.mph load;q_ch weighting;JRC;route_score;winner;yield;detection_probability;fabrication release
