source_lock_id,source_gate,source_label,path,expected_row_count,actual_row_count,expected_sha256,actual_sha256,sha256_match,row_count_match,lock_status,source_visibility_status,allowed_use,blocked_use
G26A-GATE25-001,Gate25,status,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_STATUS_20260630.json,NA,NA,ab552192c4fd92cb660ae080c3ef9da94c2599a4c836939d9a68af1df0b84465,ab552192c4fd92cb660ae080c3ef9da94c2599a4c836939d9a68af1df0b84465,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-002,Gate25,manifest,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_MANIFEST_20260630.csv,8,8,860d2d0ce349a39d6ef574e65dc637fa15a6bceda8432df0a340696e5c4616df,860d2d0ce349a39d6ef574e65dc637fa15a6bceda8432df0a340696e5c4616df,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-003,Gate25,design_scope,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_PACKAGE_C_DESIGN_SCOPE_20260630.csv,5,5,eb897ba1573615bae9b9651f4fd5cef027b120dd821540dcef973adb23966064,eb897ba1573615bae9b9651f4fd5cef027b120dd821540dcef973adb23966064,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-004,Gate25,external_prompt,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_EXTERNAL_AI_PROMPT_20260630.md,NA,NA,4d8cd5ba77205c37934e182807fba36d406b55f3ce96928e925644de8c16cec3,4d8cd5ba77205c37934e182807fba36d406b55f3ce96928e925644de8c16cec3,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-005,Gate25,joint_report,reports/joint_interface_20260630/NODI_COMSOL_GATE25_SIDEWALL_PACKAGE_C_DESIGN_REVIEW_REPORT_20260630.md,NA,NA,98d162144c1a6f8c265f08e4a8d122947631d04b0377682b7a9853e23eb42f46,98d162144c1a6f8c265f08e4a8d122947631d04b0377682b7a9853e23eb42f46,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-006,Gate25,master_report,reports/456_NODI_COMSOL_GATE25_SIDEWALL_PACKAGE_C_DESIGN_REVIEW_MASTER_REPORT_20260630.md,NA,NA,bb88a60460935d1c1d1b626d73f49d6ac64ec1278df477e4c386054f6c3699a4,bb88a60460935d1c1d1b626d73f49d6ac64ec1278df477e4c386054f6c3699a4,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-007,Gate25,gate24_auth_ledger,reports/450_NODI_COMSOL_GATE24_SIDEWALL_PACKAGE_C_AUTHORIZATION_LEDGER_MASTER_REPORT_20260630.md,NA,NA,f7f1e06518d88bf8c04adf00a8b927533b39e1bbf88659cd34ce884f1cb95847,f7f1e06518d88bf8c04adf00a8b927533b39e1bbf88659cd34ce884f1cb95847,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-008,Gate25,gate24_auth_record,reports/joint_interface_20260630/NODI_COMSOL_GATE24_SIDEWALL_PACKAGE_C_AUTHORIZATION_GATE_RECORD_20260630.csv,1,1,9a8ffa66fb31302333e12028cc0ab4dac14d35d4621f29596cfc831256b99370,9a8ffa66fb31302333e12028cc0ab4dac14d35d4621f29596cfc831256b99370,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-009,Gate25,roadmap,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,NA,NA,f377ddaace6c8f3f894de10f0793fe1c3831c4f9ab0a082214e5390a6dbc8f13,f377ddaace6c8f3f894de10f0793fe1c3831c4f9ab0a082214e5390a6dbc8f13,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
G26A-GATE25-010,Gate25,audit_packet,reports/345_NODI_SIDEWALL_ANGLE_IMPLEMENTATION_AUDIT_PACKET_20260630.md,NA,NA,022042d5927c523eccc20be258c728bfd0d321673501c471fc50644c9e4a01b0,022042d5927c523eccc20be258c728bfd0d321673501c471fc50644c9e4a01b0,true,true,MATCH,local_repo_artifact_visible_to_codex,design-only Package C external-review integration;implementation requirements ledger;required-test matrix;schema field checklist;blocked-model ledger;no-run no-auth,Package C physics implementation;proof registry pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
