source_label,path,exists,sha256,allowed_use,blocked_use
cross_section_geometry,nodi_simulator/cross_section_geometry.py,true,1ea0db3cb9979519a3fa98f2bb4a55837cf741755f8074ecc81e473f12520ee9,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
trajectory,nodi_simulator/trajectory.py,true,33f3ad3215c93abb2e4301afffd60a6bbb81062a688620fc6b609c58a7e96e18,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
next_artifacts_contract,nodi_simulator/nodi_comsol_next_artifacts.py,true,c6858786b5744fb171f7010dd868a371ed34b6e0219523fda9dadfe1a520a29f,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate27_builder,tools/audits/build_nodi_comsol_gate27_sidewall_package_c_implementation_design_preflight.py,true,2e3540fba3b1206fe71ff482a513eea273a7c828ccd346fb7dcad20d953ad53f,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_builder,tools/audits/build_nodi_comsol_gate28_sidewall_package_c_proof_review_packet.py,true,39d050c24527af0b10c5546d09c4bbc4f85274825fa7fed2afc7fd9fb63bcf3d,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
cross_section_tests,tests/test_cross_section_geometry.py,true,aff922ff5e3f4a22d7b34315ac79b3bbd65d36d506c5eff703a6c08387569bb7,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
trajectory_tests,tests/test_trajectory.py,true,29849ed1f570d6947b7b7cf2f6d247b6b4d1cbf21ff5685cd1bb03dfa84e959a,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
next_artifacts_tests,tests/test_nodi_comsol_next_artifacts_contracts.py,true,03f9aa03cad18076a7fdd956b8650c33ae415329c710c24ddbba6da37d103053,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate27_tests,tests/test_nodi_comsol_gate27_sidewall_package_c_implementation_design_preflight.py,true,1c1cdc9a7100e230e1bbacc9e775a1500bb467c276ea19fe984ad534fbd0e95a,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_tests,tests/test_nodi_comsol_gate28_sidewall_package_c_proof_review_packet.py,true,da8288cd975080df7ddb2f36b700b6152bf795aed2683152861cbc77030a509c,external review packet;unit-test evidence ledger;proof-readiness review input;no-proof-registration no-runtime no-numeric-output,Package C proof/pass registration;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
