source_label,path,exists,sha256,allowed_use,blocked_use
gate28_status,reports/joint_interface_20260630/NODI_COMSOL_GATE28_SIDEWALL_STATUS_20260630.json,true,7c23b77b9449b1ca2906d510cf81986492ad905fbbb90e6dda7bdc7f614095fc,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_report,reports/joint_interface_20260630/NODI_COMSOL_GATE28_SIDEWALL_REPORT_20260630.json,true,cd0afed2b135e952f073925afd6bb152b3a3eb604d559d52efe982e69ba70307,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_evidence,reports/joint_interface_20260630/NODI_COMSOL_GATE28_SIDEWALL_TEST_EVIDENCE_20260630.json,true,d118d10838553735ee37391196c14bb83f99bb7ce53972b9bb6a279216652641,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_source_lock,reports/joint_interface_20260630/NODI_COMSOL_GATE28_SIDEWALL_SOURCE_LOCK_20260630.csv,true,0c884ffa772bc6d5099bdaa4580dbe1cc37d496fe355367e087e52563ceb8d77,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_no_proof_firewall,reports/joint_interface_20260630/NODI_COMSOL_GATE28_SIDEWALL_NO_PROOF_FIREWALL_20260630.csv,true,7d41a62848a18c02e4fe7e2cc307bfa09639ea35d4a95463bdc6f1374f77ccdf,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate28_external_review_prompt,reports/joint_interface_20260630/NODI_COMSOL_GATE28_SIDEWALL_EXTERNAL_REVIEW_PROMPT_20260630.md,true,5483fc53470ab0f6f4c66cc8b7136a0d99fa5757e0bca19d8d352c857bd42499,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate27_proof_contract,reports/joint_interface_20260630/NODI_COMSOL_GATE27_SIDEWALL_PROOF_ARTIFACT_CONTRACT_20260630.csv,true,b8307c4d4a8683495b4b78cfb0554f855fe84136681c56e258d0d6a2b9a9f7b7,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
next_artifacts_contract,nodi_simulator/nodi_comsol_next_artifacts.py,true,9ae99cc6f804fa1fe58e36e81e8f61e8311600420e5873a0adda392ade2b2b19,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate29_builder,tools/audits/build_nodi_comsol_gate29_sidewall_package_c_external_proof_review_integration.py,true,c48cb214d1e92c66015cebe7f27ded1e626722eb2ac324ecb8dcfec804eabf0c,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
gate29_tests,tests/test_nodi_comsol_gate29_sidewall_package_c_external_proof_review_integration.py,true,31c03f25957eca6a23ed5adbbb7aa0d4302f10a58a3f574f0b919862fe877a64,external proof-registration review integration;future hard-gate matrix;telemetry reproducibility field ledger;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
