scenario_id,dt_s,rng_seed,raw_sample_count,effective_sample_size_proxy,ess_method,burn_in_steps,sample_stride,autocorrelation_status,proof_gap,claim_boundary,allowed_use,blocked_use
theta90_D900_r20,5e-05,32851,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r20,2.5e-05,32851,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r20,1.25e-05,32851,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r30,5e-05,32861,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r30,2.5e-05,32861,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r30,1.25e-05,32861,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,5e-05,32881,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,2.5e-05,32881,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,1.25e-05,32881,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r75,5e-05,32906,768,768,independent_one_step_samples_no_timeseries_autocorrelation_available,0,not_applicable_one_step_candidate,not_a_timeseries_proof_artifact,future proof artifact must bind timeseries ESS if long-run equilibrium trajectories are used,candidate_metric_hardening_not_package_c_proof_registered_not_validated_solver_output,Package C reflection metric hardening candidate;reviewer-friendly raw metric expansion;future proof-registration evidence design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
