artifact,path,row_count,sha256,status,allowed_use,blocked_use
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_STATUS_20260630.json,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_STATUS_20260630.json,NA,f15fbf0d26f12a322c66103faf235cb41613c8f50d11ba4cce591cf1b999d36d,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_SOURCE_LOCK_CLOSURE_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_SOURCE_LOCK_CLOSURE_20260630.csv,3,25a15dc6fc22723198ac90f7201b0dd59e48c66997cdbb4f4fd249f2daa8a41a,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_EVIDENCE_CHAIN_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_EVIDENCE_CHAIN_20260630.csv,19,cd40bb58927e71b141f934be76a1b9bec9a46193871baf9a2b45e2ebf16151da,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_METRIC_QA_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_METRIC_QA_20260630.csv,7,ca118721225732fd62c3eaa17bd7ed9ac22acc8057a4f18ab8db12d814e7a730,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_REGISTRATION_GAP_LEDGER_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_REGISTRATION_GAP_LEDGER_20260630.csv,63,65ce85992212bd0dc1971f0218cd7af2ee9f64f68fd1ab8f54e508495b6c84b6,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_COMSOL_PCCR_FEEDBACK_CLOSURE_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_COMSOL_PCCR_FEEDBACK_CLOSURE_20260630.csv,9,0f41ff9d7c8a74f8e62ace11e887df4ad7eb1e6cdbb66cc3f4a480405f3df4dc,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_COMSOL_REVIEW_REQUEST_V2_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_COMSOL_REVIEW_REQUEST_V2_20260630.csv,8,3d82b7f3ae8b636cb2869da4518ec5b056c6d3a6496627821bb5639dddcde9bf,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_COMSOL_REVIEW_REQUEST_V2_20260630.md,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_COMSOL_REVIEW_REQUEST_V2_20260630.md,NA,8851288c2760e75a5a2df01935c897a1e56fd3b601a8e6196db72c60a0aabc45,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_NO_PROOF_FIREWALL_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_NO_PROOF_FIREWALL_20260630.csv,12,f4628324161f7652e8e8aade3efef8e8d5bf36203530d4688181c90df9f3ec83,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_MUTATION_RESULTS_20260630.csv,reports/joint_interface_20260630/NODI_SIDEWALL_PACKAGE_C_CANDIDATE_EXCHANGE_RC2_MUTATION_RESULTS_20260630.csv,10,56d83b2ba67a525f8034ecbd6eed05f0339994136b603a7084f9b4dbafc67f6c,RC2_REVIEW_ONLY_NO_PROOF_REGISTRATION,COMSOL no-run candidate exchange receipt;candidate-only metric QA;registration gap review;future authorization-supersession planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;rank;winner;JOINT_ROUTE_CLASS/JRC;q_ch weighting;q_ch*eta;q_ch*chi*eta;chi_selected;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion;direct PRS bin;grain-level ingestion;accepted row expansion
