mutation_family,row_equivalent_count,expected_result,observed_unexpected_pass,authorization_promotion,forbidden_promotion,claim_boundary
proof_promotion_spoof,30000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
pccr_blocked_to_pass_spoof,25000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
candidate_pass_to_validation_pass_spoof,30000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
blocked_rows_promotion_spoof,25000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
authorization_supersession_spoof,25000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
external_review_received_spoof,20000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
comsol_launch_mph_spoof,25000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
qch_jrc_rank_route_chi_alias_spoof,40000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
runtime_production_flag_spoof,35000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
edge20_direct_mapping_and_220_d1200_binding_spoof,45000,EXPECTED_FAIL_OR_BLOCKED,0,0,0,candidate_only_no_proof_registration
