field_or_claim,positive_authorized_count,allowed_context,status
q_ch weighting,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
q_ch*eta,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
q_ch*chi*eta,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
chi_selected,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
route_score,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
JOINT_ROUTE_CLASS,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
JRC,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
yield,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
winner,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
detection_probability,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
runtime configuration,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
production ingestion,0,blocked_use_or_negative_fixture_mention_only,PASS_NO_AUTH
