scenario_id,dt_s,rng_seed,gate37_sample_count,expanded_sample_count,gate37_wall_pileup_ratio,gate37_first_band_count,gate37_adjacent_band_count,gate37_gap_band_total_count,gate37_ratio_denominator_zero,gate37_sparse_denominator_status,band_edges_nm_json,expanded_band_counts_json,expanded_first_band_count,expanded_adjacent_band_count,expanded_gap_band_total_count,expanded_ratio_denominator_zero,expanded_sparse_denominator_status,expanded_first_band_fraction,expanded_adjacent_band_fraction,expanded_first_vs_adjacent_gap_band_smoothed_ratio,expanded_first_vs_adjacent_gap_band_ratio_ci95_low,expanded_first_vs_adjacent_gap_band_ratio_ci95_high,expanded_wall_pileup_ratio,expanded_wall_pileup_ratio_ci95_low,expanded_wall_pileup_ratio_ci95_high,dt_consistency_status,algorithmic_pileup_signal,refinement_status,claim_boundary,allowed_use,blocked_use
theta90_D1200_r20,5e-05,33151,384,8192,9.0,4,0,4,true,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[46, 58, 46, 54, 38, 239]",46,58,104,false,expanded_count_supported_proxy,0.005615234,0.007080078,0.794871795,0.540829981,1.168243611,0.794871795,0.540829981,1.168243611,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D1200_r30,5e-05,33161,384,8192,7.0,3,0,3,true,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[44, 51, 45, 50, 34, 259]",44,51,95,false,expanded_count_supported_proxy,0.005371094,0.006225586,0.86407767,0.578542197,1.290537187,0.86407767,0.578542197,1.290537187,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta87_D900_r30,1.25e-05,32831,384,8192,7.0,3,0,3,true,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[63, 58, 60, 65, 60, 332]",63,58,121,false,expanded_count_supported_proxy,0.00769043,0.007080078,1.085470085,0.760951691,1.548383846,1.085470085,0.760951691,1.548383846,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,5e-05,32881,384,8192,5.0,2,0,2,true,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[54, 63, 70, 70, 53, 312]",54,63,117,false,expanded_count_supported_proxy,0.006591797,0.00769043,0.858267717,0.597644797,1.23254394,0.858267717,0.597644797,1.23254394,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r75,1.25e-05,32906,384,8192,4.333333333,6,1,7,false,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[63, 60, 63, 72, 60, 341]",63,60,123,false,expanded_count_supported_proxy,0.00769043,0.007324219,1.049586777,0.738057959,1.492609609,1.049586777,0.738057959,1.492609609,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta89_D1200_r20,2.5e-05,33141,384,8192,4.333333333,6,1,7,false,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[56, 43, 53, 35, 53, 273]",56,43,99,false,expanded_count_supported_proxy,0.006835938,0.005249023,1.298850575,0.874699146,1.928677789,1.298850575,0.874699146,1.928677789,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta87_D1200_r150,1.25e-05,33251,384,8192,4.333333333,6,1,7,false,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[153, 119, 124, 123, 145, 654]",153,119,272,false,expanded_count_supported_proxy,0.018676758,0.014526367,1.284518828,1.011337147,1.631492155,1.284518828,1.011337147,1.631492155,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta89_D900_r50,5e-05,32871,384,8192,3.666666667,5,1,6,false,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[62, 52, 63, 61, 57, 313]",62,52,114,false,expanded_count_supported_proxy,0.007568359,0.006347656,1.19047619,0.824829652,1.718213641,1.19047619,0.824829652,1.718213641,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta83_D1200_r75,1.25e-05,33136,384,8192,3.666666667,5,1,6,false,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[90, 103, 94, 98, 97, 509]",90,103,193,false,expanded_count_supported_proxy,0.010986328,0.012573242,0.874396135,0.659485442,1.159341136,0.874396135,0.659485442,1.159341136,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta89_D900_r30,2.5e-05,32851,384,8192,3.0,4,1,5,false,sparse_proxy_uninterpretable,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[55, 46, 56, 63, 51, 273]",55,46,101,false,expanded_count_supported_proxy,0.006713867,0.005615234,1.193548387,0.808376854,1.762244608,1.193548387,0.808376854,1.762244608,high_ratio_only_in_sparse_proxy_rows,false,sparse_gate37_proxy_artifact_no_algorithmic_signal,wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,wall-pileup diagnostic refinement;Gate37 sparse proxy triage;future metric hardening design;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
