evidence_id,source_artifact,row_count,status,primary_metric,primary_value,interpretation,claim_boundary,allowed_use,blocked_use
exact_boundary_atom_split,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_BOUNDARY_ATOM_SPLIT_20260630.csv,198,candidate_satisfied_not_proof,max_exact_boundary_atom_fraction,0.0,no exact boundary atoms observed in Gate37 split,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
near_boundary_band_split,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_BOUNDARY_ATOM_SPLIT_20260630.csv,198,candidate_satisfied_not_proof,max_near_boundary_band_fraction,0.002604167,near-band mass is separated from exact atom diagnostics,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
raw_histograms,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_RAW_HISTOGRAMS_20260630.csv,396,candidate_satisfied_not_proof,histogram_bases,"u_accessible_cdf,x_local_norm",reviewer-facing x_local_norm and u_accessible_cdf histograms are available,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
ess_proxy,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_ESS_PROXY_20260630.csv,198,candidate_caveat_not_proof_ready,autocorrelation_status,not_a_timeseries_proof_artifact,ESS proxy is useful metadata but proof-level long-run ESS remains missing,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
one_wall_folded_normal_positive_control,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_ONE_WALL_FOLDED_NORMAL_SUITE_20260630.csv,6,candidate_satisfied_not_proof,max_positive_control_ks,0.019246436,single-wall folded-normal sanity check remains within candidate threshold,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
projection_clamp_negative_control,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_ONE_WALL_FOLDED_NORMAL_SUITE_20260630.csv,6,expected_fail_observed,max_projection_exact_atom_fraction,0.495849609,projection clamp remains detectable as a bad boundary treatment,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
rejection_resampling_negative_control,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_ONE_WALL_FOLDED_NORMAL_SUITE_20260630.csv,6,expected_fail_observed,max_rejection_kernel_ks,0.084071517,rejection/resampling transition kernel remains separated from reflected Brownian target,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
worst_case_dt_refinement,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_WORST_CASE_DT_REFINEMENT_20260630.csv,10,candidate_satisfied_not_proof,max_extra_dt_distribution_delta_vs_baseline_min_dt,0.065104167,Gate37 adds 6.25e-6 s stress rows for selected worst cases,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
corner_heatmap,reports/joint_interface_20260630/NODI_COMSOL_GATE37_SIDEWALL_CORNER_HEATMAP_20260630.csv,40,candidate_satisfied_not_proof,max_corner_occupancy_ratio_to_expected,2.083333333,"corner bins are exposed for review, not promoted to proof",consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
wall_pileup_refinement,reports/joint_interface_20260701/NODI_COMSOL_GATE38_SIDEWALL_WALL_PILEUP_REFINEMENT_20260701.csv,12,candidate_satisfied_not_proof,algorithmic_pileup_signal_rows,0,Gate38 resolves Gate37 sparse wall-pileup proxy without an algorithmic pileup signal,consolidated_metric_hardening_candidate_not_package_c_proof_registered_not_runtime,Package C metric-hardening consolidation;single review entrypoint for Gate37/Gate38 candidate evidence;future proof-readiness planning;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
