scenario_id,dt_s,rng_seed,band_low_nm,band_high_nm,band_count,n_samples,observed_band_fraction,expected_area_band_fraction,expected_count,binomial_se,abs_z_to_expected,observed_ci95_low,observed_ci95_high,method_formula,candidate_status,claim_boundary,allowed_use,blocked_use
theta90_D1200_r20,5e-05,33663,0.0,1.0,415,65536,0.006332397461,0.006064467766,397.44096,0.000303274216,0.883456887,0.005753338051,0.006969329255,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D1200_r20,5e-05,33663,1.0,2.0,400,65536,0.006103515625,0.006049475262,396.458411,0.000302901393,0.178409092,0.005535464044,0.006729466423,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D1200_r30,5e-05,33673,0.0,1.0,387,65536,0.005905151367,0.006291866029,412.343732,0.000308872462,1.252020522,0.005346810591,0.006521414613,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D1200_r30,5e-05,33673,1.0,2.0,422,65536,0.006439208984,0.006275917065,411.298501,0.000308483216,0.529338098,0.005855081775,0.007081196057,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta87_D900_r30,1.25e-05,33343,0.0,1.0,476,65536,0.007263183594,0.007468088996,489.42868,0.000336307859,0.609279256,0.006641318327,0.007942812129,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta87_D900_r30,1.25e-05,33343,1.0,2.0,510,65536,0.007781982422,0.007443806721,487.837317,0.000335764774,1.007180406,0.007137467838,0.008484199457,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,5e-05,33393,0.0,1.0,476,65536,0.007263183594,0.0074875,490.7008,0.000336741347,0.66613859,0.006641318327,0.007942812129,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,5e-05,33393,1.0,2.0,489,65536,0.007461547852,0.0074625,489.0624,0.000336182938,0.002832233,0.006830928117,0.008149907601,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r75,1.25e-05,33418,0.0,1.0,557,65536,0.008499145508,0.008365714286,548.255451,0.000355784739,0.375033573,0.007824555088,0.009231354306,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r75,1.25e-05,33418,1.0,2.0,535,65536,0.008163452148,0.008335238095,546.258164,0.000355141545,0.48371121,0.007502771455,0.008881790573,expected_fraction=(area(radius+a)-area(radius+b))/area(radius),candidate_expected_band_method_bound_not_proof_registered,near_boundary_expected_band_method_candidate_not_package_c_proof_registered_not_runtime,Package C near-boundary expected-band method candidate;statistical method binding;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
