scenario_id,dt_s,rng_seed,n_samples,band_edges_nm_json,band_counts_json,first_gap_band_count,adjacent_gap_band_count,first_vs_adjacent_gap_band_smoothed_ratio,ratio_ci95_low,ratio_ci95_high,proof_ratio_hard_line,source_gate38_ratio,candidate_status,claim_boundary,allowed_use,blocked_use
theta90_D1200_r20,5e-05,33663,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[415, 400, 400, 366, 387, 1931]",415,400,1.037453184,0.90440158,1.190078757,1.25,0.794871795,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D1200_r30,5e-05,33673,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[387, 422, 414, 393, 397, 1991]",387,422,0.917159763,0.799045714,1.0527333,1.25,0.86407767,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta87_D900_r30,1.25e-05,33343,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[476, 510, 475, 452, 471, 2384]",476,510,0.933398629,0.82384573,1.057519592,1.25,1.085470085,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r50,5e-05,33393,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[476, 489, 476, 499, 495, 2272]",476,489,0.973442288,0.85808502,1.104307693,1.25,0.858267717,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta90_D900_r75,1.25e-05,33418,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[557, 535, 535, 499, 589, 2664]",557,535,1.0410831,0.924656713,1.172169093,1.25,1.049586777,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta89_D1200_r20,2.5e-05,33653,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[407, 405, 393, 404, 413, 2111]",407,405,1.004932182,0.875849717,1.153038783,1.25,1.298850575,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta87_D1200_r150,1.25e-05,33763,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[1151, 1073, 1011, 1066, 1125, 5416]",1151,1073,1.072659525,0.98707047,1.165670022,1.25,1.284518828,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta89_D900_r50,5e-05,33383,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[516, 519, 478, 527, 472, 2492]",516,519,0.994225217,0.880222549,1.122993023,1.25,1.19047619,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta83_D1200_r75,1.25e-05,33648,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[722, 794, 802, 804, 771, 3708]",722,794,0.909376967,0.822214174,1.005779873,1.25,0.874396135,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
theta89_D900_r30,2.5e-05,33363,65536,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 10.0]","[482, 451, 503, 492, 434, 2245]",482,451,1.068660022,0.939947291,1.214998175,1.25,1.193548387,candidate_and_proof_threshold_met_not_registered,one_wall_wall_pileup_refinement_candidate_not_package_c_proof_registered_not_runtime,Package C one-wall and wall-pileup refinement candidate;proof-threshold gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
