guard_field,guard_value,guard_status,hard_fail_if,claim_boundary,allowed_use,blocked_use
runtime_allowed,false,runtime_execution_packet_still_required,runtime_allowed_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_execution_started,false,no_runtime_started_by_registration,runtime_execution_started_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
nodi_runtime_recomputation_started,false,no_nodi_recompute_started,nodi_runtime_recomputation_started_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
sidewall_prs_eas_numeric_output_current,false,package_d_precheck_still_required,sidewall_prs_eas_numeric_output_current_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
comsol_launch_started,false,no_comsol_launch_started,comsol_launch_started_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
mph_load_started,false,no_mph_load_started,mph_load_started_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
validated_brownian_solver_output_current,false,finite_step_surrogate_not_exact_solver,validated_brownian_solver_output_current_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
validated_hindered_diffusion_claim_current,false,hindered_diffusion_solver_evidence_required,validated_hindered_diffusion_claim_current_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
trapezoid_flow_solver_output_current,false,flow_solver_branch_evidence_required,trapezoid_flow_solver_output_current_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
electrokinetic_solver_output_current,false,electrokinetic_solver_branch_evidence_required,electrokinetic_solver_output_current_true_without_separate_execution_or_solver_wet_packet,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
