source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
metric_hardening_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_METRIC_HARDENING_CONSOLIDATED_STATUS_20260701.json,true,b106dcf3709a64ddcad44517ed76e2622d61e3f35bb1cb255fab9eebb5b4ada6,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
timeseries_ess_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_TIMESERIES_ESS_STATUS_20260701.json,true,833ce77ed4dc66e51d973ff4dd7a3a2d47f4c63f4de5f8b4dca3ac2614d914b6,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
stationarity_ensemble_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_STATIONARITY_ENSEMBLE_STATUS_20260701.json,true,6be7c289e561284d0bb3314862695f777acd44fed0386fe98efb8bccbce43533,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
one_wall_wall_pileup_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_ONE_WALL_WALL_PILEUP_STATUS_20260701.json,true,dc4409776fbabe618bc4efacc297c0627b2368b49c5c8f7487adccf8253af0bd,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
near_boundary_expected_band_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_NEAR_BOUNDARY_EXPECTED_BAND_STATUS_20260701.json,true,7eb1aaf1dd05d9923dad02aa976858b4436ce86b1ca1bd3bb2bae9a3804c7564,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_fail_policy_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_SUBSTEP_FAIL_POLICY_STATUS_20260701.json,true,dddf1492ffbbb6a76713dbdc4c37d05ac02b1bc4bfa0f4cfebaedd5092060075,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
substep_dt_refinement_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_SUBSTEP_DT_REFINEMENT_STATUS_20260701.json,true,277fe490b98411e8e7604b333a41cc6e9425213c28f20fad283cca1ff0168952,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_substep_policy_design_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_STATUS_20260701.json,true,eeecbbce0cda51a7bb4e74fd62df7d6204269a69f1258ff365f5a89954bea969,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
proof_threshold_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_PROOF_THRESHOLD_STATUS_20260701.json,true,1a1321465ea6a5beef509ae545b2577283d8e82db3fbbabfff9643b4c4eceb16,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
proof_readiness_status,reports\joint_interface_20260701\NODI_COMSOL_PACKAGE_C_PROOF_READINESS_STATUS_20260701.json,true,b1ba424aa32347b156f8d29f7e3672b0ff46ef933fcffbb6aab1d2bda76fd291,package_c_finite_step_reflection_surrogate_proof_registered_not_runtime_not_solver_not_wet,Package C finite-step reflection surrogate proof registration;source/evidence-hash binding;Package C reflection-surrogate validation status,runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
