scenario_id,basis,seed_count,mean_l1,sample_stdev_l1,standard_error_l1,ci95_half_width_l1,ci95_upper_l1,proof_l1_hard_line,ci_status,claim_boundary,allowed_use,blocked_use
rect_limit_theta90_D900_r20,u_accessible_cdf,3,0.0145792643229,0.00655234883859,0.00378300036579,0.00741468071694,0.0219939450399,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
rect_limit_theta90_D900_r20,x_local_norm,3,0.0128011067708,0.00448864230258,0.00259151884169,0.00507937692972,0.0178804837005,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
moderate_theta85_D900_r110,u_accessible_cdf,3,0.0146280924479,0.00428489981491,0.00247388806159,0.00484882060071,0.0194769130486,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
moderate_theta85_D900_r110,x_local_norm,3,0.0127888997396,0.00704446539663,0.00406712399304,0.00797156302636,0.0207604627659,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
deep_tail_theta85_D1200_r150,u_accessible_cdf,3,0.012646484375,0.00262482397307,0.00151544282743,0.00297026794175,0.0156167523168,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
deep_tail_theta85_D1200_r150,x_local_norm,3,0.0146118164063,0.00278908626434,0.00161027970551,0.0031561482228,0.0177679646291,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
steep_theta80_D900_r75,u_accessible_cdf,3,0.0138387044271,0.0029862433905,0.00172410842537,0.00337925251373,0.0172179569408,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
steep_theta80_D900_r75,x_local_norm,3,0.0136637369791,0.00038762530283,0.000223795572933,0.000438639322949,0.0141023763021,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
stress_theta70_D900_r20,u_accessible_cdf,3,0.0104777018229,0.00311277701182,0.0017971626457,0.00352243878558,0.0140001406085,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
stress_theta70_D900_r20,x_local_norm,3,0.0127482096354,0.000609659438288,0.00035198704081,0.000689894599987,0.0134381042354,0.04,candidate_ci_upper_within_current_proof_line_not_registered,stationarity_ensemble_candidate_not_package_c_proof_registered_not_runtime,Package C independent-ensemble stationarity refinement candidate;proof-gap reduction evidence;no-proof-registration,Package C proof/pass registration;package_C_validation_status pass;runtime configuration;sidewall PRS/EAS numeric output;NODI runtime recomputation;COMSOL launch;.mph load;validated Brownian solver output;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
