artifact,path,sha256,disposition,policy_impact,allowed_use,blocked_use
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_BRANCH_ROADMAP_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_BRANCH_ROADMAP_20260701.csv,213d6e740aa463d921771eb81d1da4e5cdeed0864e8a06e3aa6eea7f5e0f8a5d,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_EXECUTION_QUEUE_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_EXECUTION_QUEUE_20260701.csv,df2795ebe08959118d9bd82d629267f142cff6fb62adad9a2a89c53acaa6f1c2,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_PROMOTION_CONTRACT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_PROMOTION_CONTRACT_20260701.csv,46293bfd1be3a37387ac71e73366aa81785c4d3382d022d20add7880f37c01ef,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_SOURCE_LOCK_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_SOURCE_LOCK_20260701.csv,2b71fcbf39642c4a81cb184d6fa3c2d70cd2457414bde4f1a3c994d59861bb29,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_DIRTY_CONTEXT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_DIRTY_CONTEXT_20260701.csv,f84e5058c369f2eb3071a21a9ce7bf53a3a45364bffe5378a6f39476102d3b1e,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_SELF_REVIEW_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_SELF_REVIEW_20260701.csv,5614ad7faae910c3ddbef3c407bcb2023aa379a9f68e26c635511ccc0451abb4,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_STATUS_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_STATUS_20260701.json,f6556d9ea6407b24ab08c614d12f3c94023bc4fd507fe52ade61ff8b9562d0ce,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_REPORT_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_REPORT_20260701.json,b8e7ac55487dff3c093acd665f5f59bd8727062edae378c35740e0a91e2c7bef,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
519_NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_20260701.md,reports/519_NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_20260701.md,e563d11c79c08cd7f248f138f7de60e09ce5248b327df401dfa5449c5c9b6bdf,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,authorized_mainline_advancement,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_MANIFEST_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_AUTHORIZED_MAINLINE_ADVANCEMENT_READY_FOR_EXECUTION_PACKETS,manifest_self_row_no_recursive_sha,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
