source_id,path,exists,row_count,sha256,claim_boundary,allowed_use,blocked_use
post_proof_status,reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_STATUS_20260701.json,true,NA,4b72b33f7fa0a6bbc76058c4ab22f0bf42525ac40d83a8a5c1b0ec9be33f2137,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
post_proof_guards,reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_POST_PROOF_GUARDS_20260701.csv,true,17,e25acf129642f7af6d9841d9e113f3a6b4fca4b48e31dd0b55adcf6e25cfd17f,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
post_proof_manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_POST_PROOF_DELTA_RELEASE_V1_MANIFEST_20260701.csv,true,12,8a3e4b3edaa4e54587cdbd0add63934e744898161f11845044412b20becaf097,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
proof_registration_status,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_STATUS_20260701.json,true,NA,1013a2463da1e337894361c1348c4beb8f8d478bfeec7e7a9c72cfa8a38ff7a3,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
runtime_substep_policy_status,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_STATUS_20260701.json,true,NA,eeecbbce0cda51a7bb4e74fd62df7d6204269a69f1258ff365f5a89954bea969,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
user_authorization_ledger_status,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_USER_AUTHORIZATION_LEDGER_STATUS_20260701.json,true,NA,66d096a0991034790f9584dac60b62a09fc4b83d83cde409dbec6eac990e3b85,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
runtime_substep_policy_source,nodi_simulator/runtime_substep_policy.py,true,NA,7d371ac70d992768e64eeaa135c6207b13b928383e9e88fa390fd9863bbdb614,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
trajectory_source,nodi_simulator/trajectory.py,true,NA,da000c42fa64bbd337cd4ba73a7fff94cf0314791a0ad35763adcec67c6344a6,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
roadmap,reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md,true,NA,3bdd3be1b9f8e96ef4bfb8b52d4ed2998b84a4a229f7c671ff9e990381fb873e,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
authorized_mainline_builder,tools/audits/build_nodi_package_c_authorized_mainline_advancement.py,true,NA,b8953e5c66f4ed8cf24908a83429a87de3adada1bf7fa4f1693b0d8979633e53,authorized_to_implement_runtime_solver_wet_route_evidence_not_promoted_to_final_claims_without_branch_evidence,Package C mainline advancement;runtime/substep execution packet planning;solver branch planning;wet evidence branch planning;route/yield/detection promotion planning,unreviewed final claim promotion;unhashed runtime result promotion;unhashed COMSOL result promotion;unhashed .mph evidence promotion;unhashed solver output promotion;unhashed wet claim promotion;route_score/winner/JRC/q_ch/yield/detection_probability promotion without promotion contract pass;fabrication release;production ingestion
