source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
proof_registration_status,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_STATUS_20260701.json,true,b796f43351f9b8f812adae9692e54f07dea4219fc6b79d779d317de1e4d9e88d,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
proof_registration_manifest,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_MANIFEST_20260701.csv,true,e664ba0f7db701b7b5d0647b4574183f078c804d755825e5827eca63b43148ea,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
proof_registration_post_guards,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_POST_GUARDS_20260701.csv,true,4a5f9d66b523acc1055b456ebe3b34b4190ee546bb05028b4755e0e29b27888c,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
proof_registration_runtime_blockers,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_PROOF_REGISTRATION_RUNTIME_BLOCKERS_20260701.csv,true,1044f75e6a57a7a3680c7cb4314bc41c3775c0ac4363c2ab1cf018bf0844b0d5,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_substep_policy_status,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_STATUS_20260701.json,true,96e17460ee5a7f4ac32248645cc69bf92fff0ef95aaf4213cc925b294a2dc633,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_substep_policy_rows,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_RUNTIME_SUBSTEP_POLICY_DESIGN_ROWS_20260701.csv,true,a38dbd88f07e2089cafceb699ad5ec04b5887a2b88cb0c77c6750a1246a166ae,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
user_authorization_ledger_status,reports/joint_interface_20260701/NODI_COMSOL_PACKAGE_C_USER_AUTHORIZATION_LEDGER_STATUS_20260701.json,true,f1ba269cfb8c0a7735a39a9f53c54c5e410dc78112320916beacee84b115b2d9,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_substep_policy_source,nodi_simulator/runtime_substep_policy.py,true,7d371ac70d992768e64eeaa135c6207b13b928383e9e88fa390fd9863bbdb614,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
trajectory_source,nodi_simulator/trajectory.py,true,da000c42fa64bbd337cd4ba73a7fff94cf0314791a0ad35763adcec67c6344a6,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
runtime_substep_policy_tests,tests/test_runtime_substep_policy.py,true,da224e6c674ffae48b2eb8d73911df248474e40f871ba53c293157bb6de65df0,post_proof_package_c_finite_step_reflection_surrogate_registered_not_runtime_not_comsol_not_solver_not_wet,Post-proof Package C clean mirror release;finite-step reflection-surrogate proof-registration handoff;runtime-guard handoff;COMSOL clean mirror request;no-run source/evidence reconciliation,runtime configuration;runtime execution;NODI runtime recomputation;sidewall PRS/EAS numeric output;COMSOL launch;.mph load;validated Brownian solver output beyond finite-step surrogate;validated hindered diffusion;trapezoid Poiseuille solver output;fixed-pressure q_ch output;flux-weighted sampling;electrokinetic grid output;optical solver output;true W_eff;reference strength claim;detector response claim;sidewall scattering claim;route_score;winner;JRC;q_ch weighting;yield;detection_probability;wet pass probability;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
