mutation_family,row_equivalent_count,expected_result,observed_unexpected_pass,authorization_promotion,proof_promotion,execution_promotion,formal_qch_promotion
proof_registration_true_spoof,25000,expected_fail_or_quarantine,0,0,0,0,0
package_C_validation_status_pass_spoof,25000,expected_fail_or_quarantine,0,0,0,0,0
authorized_mainline_treated_as_authorization,25000,expected_fail_or_quarantine,0,0,0,0,0
post_proof_treated_as_proof,25000,expected_fail_or_quarantine,0,0,0,0,0
qch_candidate_treated_as_formal_sidecar,25000,expected_fail_or_quarantine,0,0,0,0,0
route_yield_detection_treated_as_output,25000,expected_fail_or_quarantine,0,0,0,0,0
runtime_execution_treated_as_runtime_allowed,25000,expected_fail_or_quarantine,0,0,0,0,0
optical_calibration_bridge_treated_as_calibrated_solver_evidence,25000,expected_fail_or_quarantine,0,0,0,0,0
dirty_release_consumed,25000,expected_fail_or_quarantine,0,0,0,0,0
quarantine_bypass,25000,expected_fail_or_quarantine,0,0,0,0,0
q_ch_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
JRC_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
route_score_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
rank_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
chi_selected_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
winner_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
yield_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
detection_probability_alias,25000,expected_fail_or_quarantine,0,0,0,0,0
production_flag_true,25000,expected_fail_or_quarantine,0,0,0,0,0
runtime_flag_true,25000,expected_fail_or_quarantine,0,0,0,0,0
