commit,title,changed_file_count,sample_changed_files,semantic_classification,release_action
fe05a49,Refresh Package C promotion ledger wet surface lane,12,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/538_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_WET_SURFACE_REFRESH_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_WET_SURFACE_REFRESH_DELTA_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_WET_SURFACE_REFRESH_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_WET_SURFACE_REFRESH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_WET_SURFACE_REFRESH_PROMOTION_LANE_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_WET_SURFACE_REFRESH_REPORT_20260701.json,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
67a9328,Add sidewall wet surface evidence contract,14,.gitignore;nodi_simulator/sidewall_wet_surface_contract.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/537_NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_EVIDENCE_CONTRACT_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_EVIDENCE_CONTRACT_CONTRACT_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_EVIDENCE_CONTRACT_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_EVIDENCE_CONTRACT_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_EVIDENCE_CONTRACT_PROMOTION_UPDATE_ROWS_20260701.csv,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
f1ddf9c,Refresh Package C promotion ledger detector blank lanes,12,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/536_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DETECTOR_BLANK_REFRESH_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DETECTOR_BLANK_REFRESH_DELTA_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DETECTOR_BLANK_REFRESH_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DETECTOR_BLANK_REFRESH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DETECTOR_BLANK_REFRESH_PROMOTION_LANE_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DETECTOR_BLANK_REFRESH_REPORT_20260701.json,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
9476821,Add Package C detector blank context refresh,14,.gitignore;nodi_simulator/sidewall_detector_blank_context.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/535_NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_CONTEXT_REFRESH_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_CONTEXT_REFRESH_CONTEXT_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_CONTEXT_REFRESH_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_CONTEXT_REFRESH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_CONTEXT_REFRESH_PROMOTION_UPDATE_ROWS_20260701.csv,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
84db77c,Refresh Package C promotion ledger qch lane,12,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/534_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_QCH_REFRESH_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_QCH_REFRESH_DELTA_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_QCH_REFRESH_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_QCH_REFRESH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_QCH_REFRESH_PROMOTION_LANE_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_QCH_REFRESH_REPORT_20260701.json,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
d24838d,Add W500 sidewall qch grid validation refresh,15,.gitignore;nodi_simulator/sidewall_qch_grid_validation.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/533_NODI_PACKAGE_C_SIDEWALL_QCH_GRID_VALIDATION_REFRESH_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_QCH_GRID_VALIDATION_REFRESH_CONVERGENCE_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_QCH_GRID_VALIDATION_REFRESH_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_QCH_GRID_VALIDATION_REFRESH_GRID_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_QCH_GRID_VALIDATION_REFRESH_MANIFEST_20260701.csv,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
f184d84,Refresh Package C selected annulus ledger lane,12,.gitignore;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/532_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REFRESH_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REFRESH_DELTA_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REFRESH_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REFRESH_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REFRESH_PROMOTION_LANE_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REFRESH_REPORT_20260701.json,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
630008a,Add Package C sidewall selected annulus context,15,.gitignore;nodi_simulator/sidewall_selected_annulus_context.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/531_NODI_PACKAGE_C_SIDEWALL_SELECTED_ANNULUS_CONTEXT_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SELECTED_ANNULUS_CONTEXT_CONTEXT_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SELECTED_ANNULUS_CONTEXT_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SELECTED_ANNULUS_CONTEXT_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SELECTED_ANNULUS_CONTEXT_PROMOTION_UPDATE_ROWS_20260701.csv,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
3b54a89,Add Package C integrated promotion ledger,16,.gitignore;nodi_simulator/sidewall_integrated_promotion_ledger.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/530_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_BLOCKER_CATALOG_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_LEDGER_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_MANIFEST_20260701.csv,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
859e835,Add Package C sidewall optical calibration bridge,16,.gitignore;nodi_simulator/sidewall_optical_calibration_bridge.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/529_NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READINESS_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_REPORT_20260701.json,QUARANTINE_REQUIRED_POSITIVE_CLAIM_SURFACE,quarantine_or_context_only;do_not_consume_as_authorization
4dd170e,Add Package C sidewall reference surrogate smoke,16,.gitignore;nodi_simulator/sidewall_reference_surrogate_smoke.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/528_NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_COMPARISON_ROWS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_SMOKE_PROMOTION_GAPS_20260701.csv,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
28c0fc9,Add Package C sidewall reference surrogate,18,.gitignore;nodi_simulator/data_objects.py;nodi_simulator/reference_field.py;nodi_simulator/sidewall_reference_surrogate_candidate.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/527_NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_CANDIDATE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_CANDIDATE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REFERENCE_SURROGATE_CANDIDATE_MANIFEST_20260701.csv,CONTEXT_ONLY_CANDIDATE,quarantine_or_context_only;do_not_consume_as_authorization
ac5ca24,Add Package C sidewall optical smoke,15,.gitignore;nodi_simulator/sidewall_optical_reference_smoke.py;reports/100_NODI_SIDEWALL_ANGLE_INTEGRATION_ROADMAP_20260629.md;reports/526_NODI_PACKAGE_C_SIDEWALL_OPTICAL_REFERENCE_SMOKE_20260701.md;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_REFERENCE_SMOKE_DIRTY_CONTEXT_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_REFERENCE_SMOKE_MANIFEST_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_REFERENCE_SMOKE_PROMOTION_GAPS_20260701.csv;reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_REFERENCE_SMOKE_REPORT_20260701.json,SAFE_NO_AUTH_SUPPORT,quarantine_or_context_only;do_not_consume_as_authorization
