artifact,path,sha256,disposition,policy_impact,allowed_use,blocked_use
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_CASE_RESULTS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_CASE_RESULTS_20260701.csv,38967caa0c463f36200133e8dffecea5555c83dea8afb398f609e6f2423bdb1e,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_TRAJECTORY_SMOKE_SUMMARY_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_TRAJECTORY_SMOKE_SUMMARY_20260701.csv,6f738209eb25b1c064e66fd644218e332657c0172ea82f3e2f1372f5efd49a47,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_STRESS_BLOCKERS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_STRESS_BLOCKERS_20260701.csv,106b0bd46bafe21555e38f4a7992f73f9e6a652c780b272ccfda81bc538505bd,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_SOURCE_LOCK_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_SOURCE_LOCK_20260701.csv,12f2fe87531d318f8f623b79d902f61fde561f4945f4eb4c565f9cda801b6e67,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_DIRTY_CONTEXT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_DIRTY_CONTEXT_20260701.csv,1ce6a5730e8a7d51974c997e7ce06a545ae9a1395a8b64f3a6aa1f74bf25871a,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_SELF_REVIEW_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_SELF_REVIEW_20260701.csv,5850d0835c9431589650689d0001247c17bb080a2b96004af9071858dc01beb6,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_STATUS_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_STATUS_20260701.json,b2f3be5bcf9095b6d0a840091713f2c656972a8eed4423d17a2d8338f09090c4,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_REPORT_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_REPORT_20260701.json,089dbef930120490ea9ebceecaf574c16f9f908b14b81817bce726e9e2e073a9,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
520_NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_20260701.md,reports/520_NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_20260701.md,50701be5b68708b97f84581891c656e06f0b8c7f337a39cd2da00b40cab29907,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,guarded_runtime_smoke_evidence,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_MANIFEST_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_READY_WITH_GUARDED_SMOKE,manifest_self_row_no_recursive_sha,Package C guarded runtime/substep smoke evidence;runtime execution packet;substep stress blocker evidence;next solver/wet preflight context,sidewall PRS/EAS numeric output;COMSOL launch;.mph load;solver output promotion;wet claim promotion;route_score;winner;JRC;q_ch weighting;yield;detection_probability;fabrication release;production ingestion
