artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_STATUS_20260701.json,2b9791e4687ae0e6488f1219c40c54d5bd3bb4acbcbcf9d5afebc7e18bfb308f,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
integration_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_INTEGRATION_ROWS_20260701.csv,3f95a919f4df3c2927ea0b0d901876f3929d6f4a240b1923f8c92923bda72ae8,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
guard_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_GUARD_ROWS_20260701.csv,9304796ac7c9f209457981246d245a6fdbe3ea73b4e8a53b2e3afa4b711d9c71,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
route_evidence_delta,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_ROUTE_EVIDENCE_DELTA_ROWS_20260701.csv,67ac1b7f5b30ba8b681ef7dc48d1903c01893020bab85705908aa473631ae990,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
source_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_SOURCE_LOCK_20260701.csv,6251059fc4989e66de0f4573d0911b00a1f452e1627cf18ed996bdd8feea94e2,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
dirty_context,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_DIRTY_CONTEXT_20260701.csv,d1afee20f6f9bb13a854f4f04e8792650c5dc63ea7824078b58663f95dae02bb,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
command_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_COMMAND_LOCK_20260701.csv,d6b5cd105480b4452cee5979ae1d2f395f96dc108e1cd416844b5adcd5bc9f04,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
report_json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_REPORT_20260701.json,149a858443347e976b95e81277927dd25f229af054cb13b363d24a17f519ec39,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
master_report,reports/566_NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_20260701.md,481729ba56c96f35d408ba229d5e42a8384590d98197f303877826cee34df88f,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,COMSOL launcher target binding;existing exact pressure-flow result provenance;formal q_ch sidecar route-formula input,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,comsol_target_binding_and_formal_qch_input_not_route_score_not_yield_not_detection
