artifact,path,sha256,disposition,policy_impact,allowed_use,blocked_use
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_INTAKE_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_INTAKE_ROWS_20260701.csv,276d307695b5b7572da14f7571f9914758fb2cc41c0b93c1e9765cff38319474,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_ROUTE_TRANSFER_MATRIX_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_ROUTE_TRANSFER_MATRIX_ROWS_20260701.csv,ece59089ca13ca2d3d36e78a087bf673bfb3174434dbeb35ed1268ba1e4bae26,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_TEMPLATE_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_TEMPLATE_ROWS_20260701.csv,9eea5aeb82cda13211efe49f452c7cb160d6a9da49a72739ee1a414865a11f82,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_PROMOTION_UPDATE_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_PROMOTION_UPDATE_ROWS_20260701.csv,8bbd8e3d3ad4dfc5a7a0ea3f32ad879f9d8d451f8bf554a7b71d326ccf516f7b,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_SOURCE_LOCK_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_SOURCE_LOCK_20260701.csv,62eb6205d02a6a7cf419678bc65320832e63c55ed62556748b5a923a63225de3,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_DIRTY_CONTEXT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_DIRTY_CONTEXT_20260701.csv,92e37894926e5cf297218d2fefd48ced18e98bdb53808911b02b183206c090be,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_STATUS_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_STATUS_20260701.json,1f6ab7a6fece1f0b6746d311550915fb6355fec5634727792a63a328168f6991,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_REPORT_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_REPORT_20260701.json,68cf4c41e3507ffb58f8e8749cd2f1ce796aedd2b98ed11a86bda1e138f5e5aa,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
547_NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_20260701.md,reports/547_NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_20260701.md,4c34917e27aaf8b493203047fd6e32a749b001bbef930394141ce35456dd69a6,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,detector_blank_transfer_intake_not_claim,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_MANIFEST_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INTAKE_READY_SCHEMA_NO_TRANSFER_EVIDENCE,manifest_self_row_no_recursive_sha,detector/blank transfer intake schema;sidewall blank trace validation;detector response calibration handoff,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion
