artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
ROUTE-CAND-001_blank_trace,reports/joint_interface_20260701/detector_blank_transfer_nodi_candidate_sources/ROUTE-CAND-001_blank_trace.csv,3b0a66dbfa923665b10e54c2ac06d17cfc0fe143026a12a2daf216f287056a99,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
ROUTE-CAND-001_detector_response,reports/joint_interface_20260701/detector_blank_transfer_nodi_candidate_sources/ROUTE-CAND-001_detector_response.csv,24f4037194d29741e82a607059ec2bca13d3f191061e98174ed56a9f66a8b444,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
ROUTE-CAND-002_blank_trace,reports/joint_interface_20260701/detector_blank_transfer_nodi_candidate_sources/ROUTE-CAND-002_blank_trace.csv,5d9e4c6be327a0fe69b6f2e434b49bce19fd16e2670f6fed8f068cbaa0d4b617,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
ROUTE-CAND-002_detector_response,reports/joint_interface_20260701/detector_blank_transfer_nodi_candidate_sources/ROUTE-CAND-002_detector_response.csv,635e429b78fddb5c1719ae8784425a31fe99dbee62f14b6b60ddd5e38dcbcb9a,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INPUT_ROWS_20260701,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INPUT_ROWS_20260701.csv,22a1b488c78100149eb9d78e3139ecbaa5c69fe906f8ae6deb48ffcfd13cd93c,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_SOURCE_ARTIFACT_MANIFEST_20260701,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_SOURCE_ARTIFACT_MANIFEST_20260701.csv,3857f18bbfa10adfa5d6f193afbba18b36c2f847d86b3b1b6ba454be0bd72e95,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_STATUS_20260701,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_STATUS_20260701.json,645168ff0e52f4f75774c9ade08805ecc4495682c58cc7762cd449819b187eb4,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_SOURCE_LOCK_20260701,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_SOURCE_LOCK_20260701.csv,0f046c8bc8f146228789aa119830be956e9a90759d3b2183f6f1177214f55780,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_DIRTY_CONTEXT_20260701,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_DIRTY_CONTEXT_20260701.csv,55c979ad1e4179d0c7c9576a2ee5d5ee28ea7a217f77a68303715fed8a20f43e,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_REPORT_20260701,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_REPORT_20260701.json,c0ff782295bf4fa435def9ea7b2e6f6b62d13699effd3e5ffaa5d1f6202fdfa4,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
577_NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_20260701,reports/577_NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_NODI_CANDIDATE_20260701.md,c6ee134e966c5e025a53849fafaf3687399866615dafc58c2c563c17f6c48ff7,NODI-side sidewall detector/blank transfer candidate source rows;canonical detector blank transfer input rows for intake validation,detection_probability;route_score;winner;JRC;yield;wet_pass_probability;production ingestion;wet claim,detector_blank_transfer_nodi_candidate_not_detection_probability_not_route_score
