source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
flow_solver_candidate_status,reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_STATUS_20260701.json,true,9d7f7d888ea164746e2708978045a46515c702f4ab2af0d5d47bb6ea266ea3de,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
flow_solver_candidate_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_SOLVER_ROWS_20260701.csv,true,beee8a08fcaf592cdc136b44ccb1f9fe2b7acbc2a58764fbb57a739d34272dcb,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_validation_harness_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_STATUS_20260701.json,true,0840cbecdf56e008a8d873a6da3382f8e13ff8efa20d7b9aec07b3e17b53d827,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_validation_harness_request_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_REQUEST_ROWS_20260701.csv,true,ae864e055bfdd2491a7bfa444783bc368fdb200dbaed0711fb3239be63598c93,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_validation_harness_control_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_CONTROL_ROWS_20260701.csv,true,52c52847f8b6f0e6ab3970f22e191c95df0ed9c6c39c4854e0bd42c7cc0d4774,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_result_binder_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_RESULT_BINDER_STATUS_20260701.json,true,e3bf097571e779e0e698ff393ecdd8009a4829c0783a3b2a79fce137ac52d7d9,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_result_binder_binding_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_RESULT_BINDER_BINDING_ROWS_20260701.csv,true,d1b70ef4888cc02a5686029cfac4bde545483f1a1a9b06a1b3b9b97620b7ab76,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_result_binder_formal_qch_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_RESULT_BINDER_FORMAL_QCH_SIDECAR_ROWS_20260701.csv,true,83e4a0138cf2c71c478aaca4a21e9153970e370018b806554827a4b5c22c7d62,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_bridge_release_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_BRIDGE_RELEASE_V1_STATUS_20260701.json,true,54362c56c03c48c98d8de905dcb5c362e3363abdf4bb4ca26a06915bf63b143e,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
pressure_flow_bridge_release_consumption_policy,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_BRIDGE_RELEASE_V1_CONSUMPTION_POLICY_20260701.csv,true,0934c2d12bfde6e36a6dee0de0687c1557ed8b67b8e775608f3f6eb452c79afa,formal_qch_receipt_bridge_not_qch_weighting_not_route_score_not_yield_not_detection,formal q_ch sidecar receipt reconciliation;route input readiness bridge;pressure-flow evidence chain source-lock,q_ch_weighting;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion
