artifact,path,sha256,disposition,policy_impact,allowed_use,blocked_use
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_LEDGER_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_LEDGER_ROWS_20260701.csv,7972d32f771642ff57ba5b394fb5349012c6625eae08f882c66d1077e7a639ac,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_BLOCKER_CATALOG_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_BLOCKER_CATALOG_20260701.csv,3d93be3d6286db16d1b929347baee05ae0200af2c2be47804026c4cfa74430b6,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_PROMOTION_LANE_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_PROMOTION_LANE_ROWS_20260701.csv,ce6eebf693284b6079f6d32ece119e70711926af55885c3cd208a9382f8ff308,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_SOURCE_LOCK_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_SOURCE_LOCK_20260701.csv,3be04fe33c7231236a316ee02110550c66db87d8683e2b6391bc8e8c0a9ed0d3,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DIRTY_CONTEXT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_DIRTY_CONTEXT_20260701.csv,f5749e0c038cc746cff57761f6d73ad96982302be8bdfc1db62580c6d6a76f6f,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_SELF_REVIEW_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_SELF_REVIEW_20260701.csv,0d987ead4fe54ad293971bab4c27221a83f3f7df159727b7fa3e1443b84cd385,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_STATUS_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_STATUS_20260701.json,1cba7306917447d357efedd2fd6828320ed5100b7a4b59c088674cb7207eadd0,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REPORT_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_REPORT_20260701.json,780bd5439dda0510874015959f350b690a2caba3e5f1d19d26430a971074d60a,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
530_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_20260701.md,reports/530_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_20260701.md,68d237704b9eff2e4b43d0fe89dc716f6c977c57c5d12c42e7ede77f2c2e8a9e,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,sidewall_integrated_promotion_preflight_only,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_MANIFEST_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_READY_PREFLIGHT_ONLY,manifest_self_row_no_recursive_sha,route-level promotion preflight;integrated evidence blocker ledger;next-evidence prioritization,route_score;winner;JRC;q_ch_weighting;detection_probability;yield;wet pass;clogging rate;time-to-clog;recovery;fabrication release;production ingestion
