source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
mainline_work_order_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_MAINLINE_EXECUTION_WORK_ORDER_STATUS_20260701.json,true,fc79d74afa89261ba17ad6105c4376c3494a123126faf64c97e78667e00529b4,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
mainline_work_order_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_MAINLINE_EXECUTION_WORK_ORDER_WORK_ORDER_ROWS_20260701.csv,true,f10f4f7a9d2a438bff7184be1595985e1c0c4eb4e318f897e134033daa60d03d,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
mainline_route_evidence_register,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_MAINLINE_EXECUTION_WORK_ORDER_ROUTE_EVIDENCE_REGISTER_ROWS_20260701.csv,true,39b99cf2b8248fe10bd0f5d108dd0ce2bafc3edca2c2bcdff28cfa8c7076a076,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
runtime_substep_execution_status,reports/joint_interface_20260701/NODI_PACKAGE_C_RUNTIME_SUBSTEP_EXECUTION_PACKET_STATUS_20260701.json,true,b2f3be5bcf9095b6d0a840091713f2c656972a8eed4423d17a2d8338f09090c4,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
electrokinetic_profile_grid_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ELECTROKINETIC_PROFILE_GRID_CANDIDATE_STATUS_20260701.json,true,0f594ba7007cb7f2175d3500297650dece5058a98d325cd0f7ff32dac138e3ac,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
trapezoid_flow_solver_status,reports/joint_interface_20260701/NODI_PACKAGE_C_TRAPEZOID_FLOW_SOLVER_CANDIDATE_STATUS_20260701.json,true,9d7f7d888ea164746e2708978045a46515c702f4ab2af0d5d47bb6ea266ea3de,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
comsol_precondition_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_LAUNCH_PRECONDITION_STATUS_20260701.json,true,d46482d4708c6ec068cc342561c8a094508fda46e29513af4b09ead10372de28,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
detector_blank_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_STATUS_20260701.json,true,a0b68f84f7a2bcedd3739547466d03b6eb149ea5a0e6c9dba5937cd8849e1a40,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
wet_observation_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_STATUS_20260701.json,true,d86d8910b6b3324533f0368360e5c18db77a49c71310218e89daf878cfd4bee3,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
route_decision_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_DECISION_EXECUTION_READINESS_STATUS_20260701.json,true,56f38b8044009806b86fa8c8fb8a365f2ba089b62da467b993044dbbe3c7108f,mainline_state_update_candidate_evidence_not_route_yield_detection,current sidewall mainline state update;runtime substep smoke integration;profile-grid candidate integration;next evidence prioritization,route_score;winner;JRC;yield;detection_probability;COMSOL launch without target binding;wet claim without accepted wet rows;production ingestion
