register_row_id,work_order_version,route_candidate_id,route_geometry_family,evidence_lane,evidence_class,source_artifact_id,source_head,evidence_rows,accepted_claim_evidence_rows,may_satisfy_route_formula_now,may_satisfy_yield_now,may_satisfy_detection_now,current_blocker,hard_fail_if,claim_boundary
ROUTE-EVIDENCE-ROUTE-CAND-001-q_ch_route_input,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-001,ideal_rectangle,q_ch_route_input,ready_route_input,PACKAGE_C_SIDEWALL_ROUTE_DECISION_EXECUTION_READINESS_20260701,560b66057db28fc501ab886045ca7e04d4ead53c,1,0,False,False,False,q_ch is a ready route input but not a route score or q_ch weighting claim,q_ch_route_input_promoted_to_route_score_without_formula_packet,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-001-detector_blank_transfer,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-001,ideal_rectangle,detector_blank_transfer,fixture_or_context_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_20260701,a7d2fdc142ff4c367e3f49d4cf13205cd6cbf333,36,0,False,False,False,accepted detector/blank transfer rows are absent,fixture_or_context_detector_rows_satisfy_detection_or_route_score,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-001-wet_observation,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-001,ideal_rectangle,wet_observation,fixture_or_contract_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_20260701,68a4e4301a3b54dad9c1219a406ce2b708bce5e4,64,0,False,False,False,accepted wet observation rows are absent,fixture_or_contract_wet_rows_satisfy_yield_or_wet_pass,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-001-electrokinetic_profile_grid,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-001,ideal_rectangle,electrokinetic_profile_grid,preflight_requirement,PACKAGE_C_SIDEWALL_ELECTROKINETIC_GRID_PREFLIGHT_20260701,3ad29b91cab544829b54c83989c3e452cbb3e1eb,4,0,False,False,False,profile-aware grid rows are absent,electrokinetic_preflight_used_as_route_or_detection_claim,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-001-comsol_target_binding,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-001,ideal_rectangle,comsol_target_binding,precondition_only,PACKAGE_C_SIDEWALL_COMSOL_LAUNCH_PRECONDITION_20260701,3a94d349d3fae4b99f813dc195500ad4b84d8c44,5,0,False,False,False,COMSOL target model and command hash are not bound,comsol_precondition_used_as_solver_or_route_claim,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-002-q_ch_route_input,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,q_ch_route_input,ready_route_input,PACKAGE_C_SIDEWALL_ROUTE_DECISION_EXECUTION_READINESS_20260701,560b66057db28fc501ab886045ca7e04d4ead53c,1,0,False,False,False,q_ch is a ready route input but not a route score or q_ch weighting claim,q_ch_route_input_promoted_to_route_score_without_formula_packet,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-002-detector_blank_transfer,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,detector_blank_transfer,fixture_or_context_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_20260701,a7d2fdc142ff4c367e3f49d4cf13205cd6cbf333,36,0,False,False,False,accepted detector/blank transfer rows are absent,fixture_or_context_detector_rows_satisfy_detection_or_route_score,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-002-wet_observation,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,wet_observation,fixture_or_contract_available_no_accepted_claim_evidence,PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_20260701,68a4e4301a3b54dad9c1219a406ce2b708bce5e4,64,0,False,False,False,accepted wet observation rows are absent,fixture_or_contract_wet_rows_satisfy_yield_or_wet_pass,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-002-electrokinetic_profile_grid,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,electrokinetic_profile_grid,preflight_requirement,PACKAGE_C_SIDEWALL_ELECTROKINETIC_GRID_PREFLIGHT_20260701,3ad29b91cab544829b54c83989c3e452cbb3e1eb,4,0,False,False,False,profile-aware grid rows are absent,electrokinetic_preflight_used_as_route_or_detection_claim,mainline_execution_work_order_authorized_execute_evidence_gated_claims
ROUTE-EVIDENCE-ROUTE-CAND-002-comsol_target_binding,sidewall_mainline_execution_work_order_v1,ROUTE-CAND-002,trapezoid_tapered_sidewalls,comsol_target_binding,precondition_only,PACKAGE_C_SIDEWALL_COMSOL_LAUNCH_PRECONDITION_20260701,3a94d349d3fae4b99f813dc195500ad4b84d8c44,5,0,False,False,False,COMSOL target model and command hash are not bound,comsol_precondition_used_as_solver_or_route_claim,mainline_execution_work_order_authorized_execute_evidence_gated_claims
