artifact,path,sha256,disposition,policy_impact,allowed_use,blocked_use
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SEED_TABLE_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SEED_TABLE_20260701.csv,ee50202bed256bb8b4f822b922e85893b96f869a5309b0431a95daca7991a7d4,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READINESS_ROWS_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READINESS_ROWS_20260701.csv,a403ac97f6bec06145380e0a0c5b13cff1ef6847679e2c4224a80b248ae4ed04,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SOURCE_LOCK_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SOURCE_LOCK_20260701.csv,08a751331b111dfd944692eb6ffed820b889f6a0ba09f54489a9da82c2a2d9ef,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_DIRTY_CONTEXT_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_DIRTY_CONTEXT_20260701.csv,e791d683b2f51244b0ad4b3ff3c05494e13ec4bb38c8124a8faec1ba218cafaa,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SELF_REVIEW_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SELF_REVIEW_20260701.csv,39aca9db899e1d69fdc85f0a987c5c4173e0f0b8e9938a476c37af699c20829a,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SEED_TABLE_20260701.csv.manifest.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_SEED_TABLE_20260701.csv.manifest.json,06bc24086a90f693c45896570e089368a8baaee8c4bbf202cc90c6fa9699ea95,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_STATUS_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_STATUS_20260701.json,3baf3a918e80e3254df9d002e386cebf45343b1178a3218f3018e097751f7159,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_REPORT_20260701.json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_REPORT_20260701.json,18add7110c16e837aed5e605c7378b06b48a3eca3884969adc9bcae0e2c321a1,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
529_NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_20260701.md,reports/529_NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_20260701.md,d4466ee1a8d2c980af8034bffbae6aedcacc67f766a5ce97ec883789431aa329,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,sidewall_optical_calibration_bridge_seed_only,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_MANIFEST_20260701.csv,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,NODI_PACKAGE_C_SIDEWALL_OPTICAL_CALIBRATION_BRIDGE_READY_SEED_ONLY,manifest_self_row_no_recursive_sha,synthetic sidewall optical calibration seed;calibration readiness planning;future solver or blank-channel calibration scaffold,measured blank-channel calibration;full-wave optical solver;true W_eff;detector response validation;detection_probability;yield;route_score;winner;JRC;wet pass claim;production ingestion
