mutation_family,row_equivalent_count,expected_result,observed_unexpected_pass,authorization_promotion,proof_promotion,formal_qch_promotion,route_score_promotion,yield_detection_promotion
missing_geometry_hash,37500,expected_fail_or_quarantine,0,0,0,0,0,0
geometry_hash_mismatch,37500,expected_fail_or_quarantine,0,0,0,0,0,0
route_key_mismatch,37500,expected_fail_or_quarantine,0,0,0,0,0,0
pressure_drop_mismatch,37500,expected_fail_or_quarantine,0,0,0,0,0,0
candidate_q_grid_promoted_to_formal_qch,37500,expected_fail_or_quarantine,0,0,0,0,0,0
review_pass_promoted_to_formal_qch,37500,expected_fail_or_quarantine,0,0,0,0,0,0
q_ch_alias_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
JRC_alias_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
route_score_alias_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
winner_alias_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
yield_alias_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
detection_probability_alias_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
unauthorized_comsol_run_result,37500,expected_fail_or_quarantine,0,0,0,0,0,0
mph_load_without_authorization,37500,expected_fail_or_quarantine,0,0,0,0,0,0
runtime_flag_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
production_flag_true,37500,expected_fail_or_quarantine,0,0,0,0,0,0
dirty_external_consumed_as_release,37500,expected_fail_or_quarantine,0,0,0,0,0,0
release_scoped_source_dirty,37500,expected_fail_or_quarantine,0,0,0,0,0,0
Gate2D_row_count_drift,37500,expected_fail_or_quarantine,0,0,0,0,0,0
EDGE_QCH_BINDING_state_promotion,37500,expected_fail_or_quarantine,0,0,0,0,0,0
