source_id,path,exists,row_count,sha256_pass1,sha256_pass2,source_stable_two_pass,git_status,release_scoped_source,release_scoped_dirty_blocker,policy_impact
report_541_pressure_flow_harness,reports/541_NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_20260701.md,true,NA,3c6f5d18a15dad96dd72f8d4fe00cbdb0c652ac5aa01b9b12d6edf2add0c0520,3c6f5d18a15dad96dd72f8d4fe00cbdb0c652ac5aa01b9b12d6edf2add0c0520,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
report_542_pressure_flow_ledger,reports/542_NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_PRESSURE_FLOW_REFRESH_20260701.md,true,NA,03936150d2671154486fae85e5dc9a9ab3956cc0b40994fe4f4accc711fae5d5,03936150d2671154486fae85e5dc9a9ab3956cc0b40994fe4f4accc711fae5d5,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
report_543_pressure_flow_result_binder,reports/543_NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_RESULT_BINDER_20260701.md,true,NA,6f40f99f2e90a50cc7f60b07f84c3cbd0308b4bff06bfe21f48dac203c7451e8,6f40f99f2e90a50cc7f60b07f84c3cbd0308b4bff06bfe21f48dac203c7451e8,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
pressure_flow_request_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_REQUEST_ROWS_20260701.csv,true,2,ae864e055bfdd2491a7bfa444783bc368fdb200dbaed0711fb3239be63598c93,ae864e055bfdd2491a7bfa444783bc368fdb200dbaed0711fb3239be63598c93,true,clean_or_tracked_unchanged,true,false,no_policy_impact
pressure_flow_harness_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_STATUS_20260701.json,true,NA,009bde4a746fefa6c296b0ab5cfbf86e9245b239f74526663cbae85f1e8e2e4d,009bde4a746fefa6c296b0ab5cfbf86e9245b239f74526663cbae85f1e8e2e4d,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
pressure_flow_harness_report,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_PRESSURE_FLOW_VALIDATION_HARNESS_REPORT_20260701.json,true,NA,378d94eb68d957c98751844f0b111697e4404414e5a629f01cf27d029fa6f80d,378d94eb68d957c98751844f0b111697e4404414e5a629f01cf27d029fa6f80d,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
pressure_flow_ledger_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_PRESSURE_FLOW_REFRESH_STATUS_20260701.json,true,NA,31e468cfedd03992adae21d79b7cd967e5ccfb0b43fee4ac16d48df075be5819,31e468cfedd03992adae21d79b7cd967e5ccfb0b43fee4ac16d48df075be5819,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
pressure_flow_ledger_report,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_PRESSURE_FLOW_REFRESH_REPORT_20260701.json,true,NA,1031bec06d926d56927eeffae2cf71dc28d8616d5e6ca7e6a93265a7488d1117,1031bec06d926d56927eeffae2cf71dc28d8616d5e6ca7e6a93265a7488d1117,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
pressure_flow_ledger_lane_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_PRESSURE_FLOW_REFRESH_PROMOTION_LANE_ROWS_20260701.csv,true,18,3a4b9d5e16058ea9125198204887618a634b28ffa1a2c41f67e6e8ce013d4445,3a4b9d5e16058ea9125198204887618a634b28ffa1a2c41f67e6e8ce013d4445,true, M,true,false,source_locked_upstream_pressure_flow_chain_rebuild
route_policy_refresh_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_INTEGRATED_PROMOTION_LEDGER_ROUTE_POLICY_REFRESH_STATUS_20260701.json,true,NA,dc9d00b56e24f31f173fa24a338df64dce4fb1667384cfd01d45d2361c83050a,dc9d00b56e24f31f173fa24a338df64dce4fb1667384cfd01d45d2361c83050a,true,clean_or_tracked_unchanged,true,false,no_policy_impact
