artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_STATUS_20260701.json,a3f4d4e5cfb4d42074457602742347437fc435b04984d7f09f5545533a42dc12,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
workspace_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_WORKSPACE_ROWS_20260701.csv,139fc6706d63e31a9632525edbdc1108d9a57f6663fb719c5f11d2d68024c0ad,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
source_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_SOURCE_LOCK_20260701.csv,9992d94c28c85e308e50a0ea0855210988eb7859423d6d343b38e9d00d17ca81,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
dirty_context,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_DIRTY_CONTEXT_20260701.csv,73255cc1a848c948cf7917b9a12f8ca80675206ce5154a5054d78fd82e212fdd,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
report_json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_REPORT_20260701.json,013232a13d1755e60a9883724015246c9a750ce84e74264a72dd032eb3832807,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
master_report,reports/577_NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_20260701.md,8a890d59ad867f9ad5595c990d0cd5f0902f3300e1304d61fd3aeefba5796c94,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_REAL_EVIDENCE_INPUT_WORKSPACE_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
target_detector_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INPUT_ROWS_20260701.csv,f8725747c9d0b0a2ce03c9af26ac824f69186da9591dd9d4653adb9625942591,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
target_wet_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_OBSERVATION_INPUT_ROWS_20260701.csv,c5cf54e312c4633b512f3b099a06c888a32187b139a70711603ec9678d3b6b87,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
target_detection_value_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTION_PROBABILITY_VALUE_INPUT_ROWS_20260701.csv,b69de6b0fa790463d5eb3cad6bac483ebaf9253a7865556083d9dcf5df021cf8,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
target_yield_value_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_WET_VALUE_INPUT_ROWS_20260701.csv,f70628bc9821312951927a607c8f9e4697184e8b8d57162818761bdd4f0bbee4,create/audit header-only real evidence target CSVs for the sidewall route decision chain,template-as-evidence;claim activation;production ingestion,real_evidence_input_workspace_not_template_as_evidence
