artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_STATUS_20260701.json,bd0319da86430e4c67a9a3c73d1fb125cc103826fd7aafe5adcbfca6e60effff,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
smoke_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_SMOKE_ROWS_20260701.csv,3c3fe4b76e5c762be4c6b7c57e6308c79ac627c4e3012fd000e20f01e0a6cbc9,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
detector_fixture_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_DETECTOR_FIXTURE_ROWS_NOT_EVIDENCE_20260701.csv,32fdcf98cd28a18532fb375b869ddef63977e08317d3811a5e42324549e4ed97,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
wet_fixture_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_WET_FIXTURE_ROWS_NOT_EVIDENCE_20260701.csv,e83f4096132b46016509d276c41542e99f61084db0fbfe8f3456f2e36b24020f,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
dry_run_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_DRY_RUN_ROWS_NOT_EVIDENCE_20260701.csv,9ddd245f1e5dd2997931298035f779677b59b16a5a44b4ba94cd4c3ae7d46fff,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
source_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_SOURCE_LOCK_20260701.csv,6d17af1bf67c72560e0eb4862aedec5ea008564f1c2cdd88f95e55132289a9b7,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
dirty_context,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_DIRTY_CONTEXT_20260701.csv,f44c182026fed53f679b3ae812e394c7a370105c1ca9deb7c085a9377eed3cb3,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
report_json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_REPORT_20260701.json,f702800f7489b8bf76d882daadf3adee8ee26e4b48a669b1f09eaa14abb86e22,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
master_report,reports/573_NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_20260701.md,29d2b768ef48de15868f13fe2a6d51ebed574550f14b5afe68c488d22c6b2719,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_ACCEPTED_EVIDENCE_SMOKE_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,fixture-only accepted-evidence smoke for activation closure and formula dry-run path,simulation evidence source rows;template-as-evidence;route_score;winner;JRC;yield;detection_probability;wet_pass_probability;production ingestion,fixture_smoke_not_evidence_not_route_score_not_yield_not_detection
