source_id,path,exists,sha256,claim_boundary,allowed_use,blocked_use
readiness_board_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_READINESS_BOARD_STATUS_20260701.json,true,ceb20dc9ab7569020321dfa1160c731131ed7c12a9b68d5b4c3c0e1890574f3e,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
readiness_board_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_READINESS_BOARD_BOARD_ROWS_20260701.csv,true,80a41c92692ae3d1510e3c3943939b73b4145c569b5d16d1057ff19f4c1a42e3,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
solver_branch_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SOLVER_BRANCH_EXECUTION_PACKET_STATUS_20260701.json,true,f9a8100142ac99728995f8e747fca45358b87645a724af6a33af3dc4c035104b,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
electrokinetic_preflight_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ELECTROKINETIC_GRID_PREFLIGHT_STATUS_20260701.json,true,2838d785e5e54bab6f3cdb82ac793f39691bfd814d36a9555409a5218f25f1d1,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
comsol_precondition_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_LAUNCH_PRECONDITION_STATUS_20260701.json,true,d46482d4708c6ec068cc342561c8a094508fda46e29513af4b09ead10372de28,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
detector_wet_activation_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_WET_EVIDENCE_ACTIVATION_RUNNER_STATUS_20260701.json,true,a922100c1bb5d2950367ee358069546bbfd78a5f07edb2ff401952e00ad74e73,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_formula_dry_run_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_REVIEW_DRY_RUN_STATUS_20260701.json,true,785017cfa7b0c9bd7912c32b0b07b9c7039d78f6bc9cd4968e878edbd90b16c2,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_formula_dry_run_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_REVIEW_DRY_RUN_DRY_RUN_ROWS_20260701.csv,true,9ddd245f1e5dd2997931298035f779677b59b16a5a44b4ba94cd4c3ae7d46fff,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_formula_policy_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_STATUS_20260701.json,true,498524bdd88a7abd95cabd7ed8643704f0f64d26e8d2368b653a9902c3877cd6,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_formula_policy_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_POLICY_REVIEW_POLICY_ROWS_20260701.csv,true,29d352e227479762d37537f589e0ed713b595211ddb59853ba1239411825afea,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
winner_jrc_policy_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WINNER_JRC_POLICY_REVIEW_STATUS_20260701.json,true,1dfb3835b145d09075fd17c4a53c58b46e430e8410a6cc976fd5c41c51c83285,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
winner_jrc_policy_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WINNER_JRC_POLICY_REVIEW_REVIEW_ROWS_20260701.csv,true,2b56018997f92a908ad2c66649c636325abaa4a484aed28789772e1045907848,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
yield_detection_claim_value_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_REVIEW_STATUS_20260701.json,true,6f0a4e7beaf81064bb746be3b57405ba4f050bb1e890eaf6e8d739525fd7a41b,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
yield_detection_claim_value_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_REVIEW_CLAIM_VALUE_ROWS_20260701.csv,true,4b40ac3ab80343955a4ce9cb4b62c2f18ee412fd53af6af95a3a16b515098e39,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_decision_execution_source,nodi_simulator/sidewall_route_decision_execution_readiness.py,true,dd18d7937145e32466e17a070a455cd367fd676692328dd43d92716ff45a7ae6,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_decision_execution_tests,tests/test_sidewall_route_decision_execution_readiness.py,true,b2fa2e5e21b81e75faed6f095f82eef2e2be1e33c8c635ec7ba3057235a805e6,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_decision_execution_builder,tools/audits/build_nodi_package_c_sidewall_route_decision_execution_readiness.py,true,0a4c5f8391b53c3be837dfa24b16d326ebf2f6addcdd232d93e6b0c3a7dc5da6,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
route_decision_execution_builder_tests,tests/test_nodi_package_c_sidewall_route_decision_execution_readiness.py,true,44467c3df54fbf15af71cfb7508f2eb0323c756f1cee33451637dcd8e9c25e4c,route_decision_execution_readiness_not_route_score_not_yield_not_detection,route/yield/detection execution readiness integration;rectangle plus trapezoid route status;route-score and winner/JRC policy-review status for simulation-derived claims,yield;detection_probability;production ingestion;fabrication release without respective simulation review
