source_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
qch_integration_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_STATUS_20260701.json,true,2b9791e4687ae0e6488f1219c40c54d5bd3bb4acbcbcf9d5afebc7e18bfb308f,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
qch_route_evidence_delta_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_ROUTE_EVIDENCE_DELTA_ROWS_20260701.csv,true,67ac1b7f5b30ba8b681ef7dc48d1903c01893020bab85705908aa473631ae990,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
route_candidate_status,reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_STATUS_20260701.json,true,2900cf3b39cbab677d87e3242c4a084543c83e8b279f52b14050e412b044970d,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
route_candidate_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_ROUTE_YIELD_DETECTION_CANDIDATE_ROUTE_CANDIDATE_ROWS_20260701.csv,true,ae19ceaa0502c1371e0cac82081fdb93f16c0425ddb9805e5ca11914da7092aa,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
detector_wet_closure_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_WET_ROUTE_BINDING_CLOSURE_STATUS_20260701.json,true,37129313620375091c9469cb2ddf8977f3f1613a091b11a3df80343acbfb9466,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
detector_wet_closure_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_WET_ROUTE_BINDING_CLOSURE_CLOSURE_ROWS_20260701.csv,true,c6fce4c5877c3d464354c73c39eebcdd2108791ab9f4dd72d81e55637a860f29,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
detector_execution_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_STATUS_20260701.json,true,a0b68f84f7a2bcedd3739547466d03b6eb149ea5a0e6c9dba5937cd8849e1a40,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
wet_execution_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_STATUS_20260701.json,true,d86d8910b6b3324533f0368360e5c18db77a49c71310218e89daf878cfd4bee3,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
detector_validation_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_VALIDATION_HARDENING_STATUS_20260701.json,true,875d54ae0cc68d58bc9fd972c68462d76e74a08e70e833b47568f524084eb472,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
wet_validation_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_OBSERVATION_VALIDATION_HARDENING_STATUS_20260701.json,true,7c01ee2518f8b2dc5b796798b64d80473305d69406763bc7d23147ee2319cc4c,route formula input preflight;formal q_ch integration;detector/wet blocker localization,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_formula_binding_preflight_not_route_score_not_winner_not_yield_not_detection
