source_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
preflight_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_BINDING_PREFLIGHT_STATUS_20260701.json,true,a678e5ceed96e4512f498d17f374860a0a04bbc5e8932378330905c6ecdb775a,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
preflight_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_FORMULA_BINDING_PREFLIGHT_PREFLIGHT_ROWS_20260701.csv,true,455532d18c3d9dfe354d80f9868bd823d230fce90ed6b994b4dd11c04ad92b08,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
qch_integration_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_COMSOL_TARGET_BINDING_QCH_INTEGRATION_STATUS_20260701.json,true,2b9791e4687ae0e6488f1219c40c54d5bd3bb4acbcbcf9d5afebc7e18bfb308f,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
detector_execution_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_EXECUTION_PACKET_STATUS_20260701.json,true,a0b68f84f7a2bcedd3739547466d03b6eb149ea5a0e6c9dba5937cd8849e1a40,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
wet_execution_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_OBSERVATION_EXECUTION_PACKET_STATUS_20260701.json,true,d86d8910b6b3324533f0368360e5c18db77a49c71310218e89daf878cfd4bee3,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
old_readiness_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_READINESS_BOARD_STATUS_20260701.json,true,766784c6e4521603f25618e1ae609a9f61ffa6b4952485046f2606396af52ffa,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
old_policy_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_POLICY_WET_OBSERVATION_REFRESH_STATUS_20260701.json,true,b33643f9a49205c101e63d92c5e3424ebeb95621965057c4a07ac84b64d2f7b4,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
old_assembly_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_ROUTE_YIELD_DETECTION_ASSEMBLY_DETECTOR_BLANK_TRANSFER_REFRESH_STATUS_20260701.json,true,6cb81e0ca35614331aad54dfc8e2fa3695d04f332ad1d08f541a2491f63f9a39,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
old_formal_qch_status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_FORMAL_QCH_RECEIPT_BRIDGE_STATUS_20260701.json,true,6a72afed7c45df002e6fb3114d795802c48ddc7395d5de0d916d615d23057c45,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
binder_source,nodi_simulator/sidewall_route_qch_detector_wet_blocker_binder.py,true,fe7b0de6b7a52c5bbf3cbd2d164a5534e4c152ec72197b243fb487ef7a714d31,canonical current route q_ch/detector/wet blocker board;source supersession pointer;next route/yield/detection execution planning,route_score;winner;JRC;yield;detection_probability;wet_pass_probability;clogging_rate;time_to_clog;recovery;production ingestion,route_qch_detector_wet_blocker_binder_not_route_score_not_yield_not_detection
