blocker_row_id,board_version,route_candidate_id,evidence_lane,readiness_class,current_status,target_claim,target_claim_current,next_required_evidence,hard_fail_if_promoted_without,claim_boundary
RYD-READINESS-BLOCKER-ROUTE-CAND-001-formal_qch,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-001,formal_qch,ready_route_input_not_final_claim,formal_qch_receipt_reconciled_ready_as_route_input_not_route_weighting,route_input,False,formal q_ch sidecar receipt with no q_ch weighting,formal_qch_sidecar_missing_or_weighting_claimed,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-001-pressure_flow_validation,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-001,pressure_flow_validation,ready_route_input_not_final_claim,ready_exact_pressure_flow_validation_for_formal_qch_input,route_input,False,exact pressure-flow validation bound to route geometry,pressure_flow_validation_missing_or_geometry_mismatch,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-001-selected_annulus_detection_context,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-001,selected_annulus_detection_context,ready_route_input_not_final_claim,expanded_selected_annulus_panel_available_not_probability,detection_context,False,"selected-annulus event panel input, not probability",selected_annulus_context_promoted_to_detection_probability,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-001-detector_blank_transfer,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-001,detector_blank_transfer,missing_required_claim_evidence,detector_blank_transfer_intake_ready_no_transfer_evidence,detection_probability,False,"detector operator, ROI/slit throughput, and standard-particle calibration consuming sidewall reference field",detection_probability_true_without_detector_blank_transfer,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-001-wet_observation,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-001,wet_observation,missing_required_claim_evidence,wet_surface_observation_intake_ready_no_observations,yield;wet_pass_probability,False,sidewall-specific or validated-transfer wet observation rows for all endpoints,yield_or_wet_pass_true_without_wet_observation_bundle,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-002-formal_qch,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-002,formal_qch,ready_route_input_not_final_claim,formal_qch_receipt_reconciled_ready_as_route_input_not_route_weighting,route_input,False,formal q_ch sidecar receipt with no q_ch weighting,formal_qch_sidecar_missing_or_weighting_claimed,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-002-pressure_flow_validation,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-002,pressure_flow_validation,ready_route_input_not_final_claim,ready_exact_pressure_flow_validation_for_formal_qch_input,route_input,False,exact pressure-flow validation bound to route geometry,pressure_flow_validation_missing_or_geometry_mismatch,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-002-selected_annulus_detection_context,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-002,selected_annulus_detection_context,ready_route_input_not_final_claim,expanded_selected_annulus_panel_available_not_probability,detection_context,False,"selected-annulus event panel input, not probability",selected_annulus_context_promoted_to_detection_probability,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-002-detector_blank_transfer,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-002,detector_blank_transfer,missing_required_claim_evidence,detector_blank_transfer_intake_ready_no_transfer_evidence,detection_probability,False,"detector operator, ROI/slit throughput, and standard-particle calibration consuming sidewall reference field",detection_probability_true_without_detector_blank_transfer,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
RYD-READINESS-BLOCKER-ROUTE-CAND-002-wet_observation,sidewall_route_yield_detection_readiness_board_v1,ROUTE-CAND-002,wet_observation,missing_required_claim_evidence,wet_surface_observation_intake_ready_no_observations,yield;wet_pass_probability,False,sidewall-specific or validated-transfer wet observation rows for all endpoints,yield_or_wet_pass_true_without_wet_observation_bundle,route_yield_detection_readiness_board_not_route_score_not_yield_not_detection_probability
