artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_STATUS_20260701.json,aeebaf1bf77a94f0fd24528e61c3f383b98c8d77fdd30327411d868fe9e27fdd,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
workspace_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_WORKSPACE_ROWS_20260701.csv,2d079cc79a273e4d79763c7c2041999fb828c38bf3d13d01dc71b8707d5ee254,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
source_manifest_workspace_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_SOURCE_MANIFEST_WORKSPACE_ROWS_20260701.csv,f0754818b3e2edfb62ad92d6060e4d05fde05ee2650f755d634add41ed6b65bc,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
source_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_SOURCE_LOCK_20260701.csv,68b65b09b9f7e3b52326bebcbe5583d049ea31f2b45f18dc666f52dca9669d7b,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
dirty_context,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_DIRTY_CONTEXT_20260701.csv,3e1414f8c4026659d33cede5ec109a8c2edafe7534858aa44119478eebdd9f6d,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
report_json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_REPORT_20260701.json,ca56bcdbeeb08cf018a58b8a27463a24196de426059f4daed79856fc5410564a,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
master_report,reports/582_NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_20260701.md,446f662ed74371b11b4fce2b8b64961c69803bd9e077f18610fba8e370a56986,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_INPUT_WORKSPACE_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
target_detector_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTOR_BLANK_TRANSFER_INPUT_ROWS_20260701.csv,22a1b488c78100149eb9d78e3139ecbaa5c69fe906f8ae6deb48ffcfd13cd93c,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
target_wet_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_WET_SURFACE_OBSERVATION_INPUT_ROWS_20260701.csv,f7bb8d444c01cac51ffa8b2a9a1579ccc5178688da9f46d031dd868324ae5e31,create/audit header-only simulation-assumption target CSVs for the sidewall route decision chain,template-as-evidence;unreviewed assumptions as claims;production ingestion,simulation_assumption_input_workspace_not_template_as_evidence
