artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_STATUS_20260701.json,04e1f2074a0c4e0e93f6f928b3d00d5a70382b4d42a7a3a84be1a5f81913b469,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
audit_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_AUDIT_ROWS_20260701.csv,e3af3f29fe74c69a18d7ee4d2e27e017d48b9b77b18f9511010841946cdb5ce8,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
source_lock,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_SOURCE_LOCK_20260701.csv,4494531528ee6e11bad75517fad2c2f61c0416b107363339fe8662dc7aa64f64,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
dirty_context,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_DIRTY_CONTEXT_20260701.csv,3fbafda7f9283412def8658e322267c000d613e32ee70c26d06e81225cb561e9,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
report_json,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_REPORT_20260701.json,df5703113403dbd53fae53b54a4f02e7f74729bc282b199d063fd3a37dd60620,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
master_report,reports/579_NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_20260701.md,4874f44c406e7abf9779aebd25b531e9aff930ae3bfa18d97409ec46515eebd2,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
manifest,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_MANIFEST_20260701.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
imported_detection_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_IMPORTED_DETECTION_VALUE_ROWS_20260701.csv,937ed55bfc17a056bddfd385a87f036e8892782bd8990a65e6a069f71bd444ee,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
imported_yield_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_DETECTION_CLAIM_VALUE_MANIFEST_IMPORT_IMPORTED_YIELD_VALUE_ROWS_20260701.csv,550f6b091d9ac7efcb6c35c0b3e98c0d8245f3b15e2a784a6eb1cf0224a06a22,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
canonical_detection_value_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_DETECTION_PROBABILITY_VALUE_INPUT_ROWS_20260701.csv,937ed55bfc17a056bddfd385a87f036e8892782bd8990a65e6a069f71bd444ee,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
canonical_yield_value_input_rows,reports/joint_interface_20260701/NODI_PACKAGE_C_SIDEWALL_YIELD_WET_VALUE_INPUT_ROWS_20260701.csv,550f6b091d9ac7efcb6c35c0b3e98c0d8245f3b15e2a784a6eb1cf0224a06a22,manifest-bound simulation-derived yield/detection value input import;source artifact hash binding,template-as-evidence;invented detection/yield values;route_score;winner;JRC;fabrication release;production ingestion,yield_detection_claim_value_manifest_import_not_template_not_route_score
