field,required,allowed_use,blocked_use,decision_use_allowed
artifact_version,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
source_run_id,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
source_artifacts_json,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
distribution_source_sha256,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
model_or_measurement_id,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
route_geometry_id_comsol,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
route_geometry_id_comsol_version,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
process_state,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
width_nm,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
depth_nm,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
diameter_nm,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
sidewall_angle_convention,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
sidewall_deg_comsol,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
sidewall_taper_angle_deg_nodi,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
angle_conversion_formula_id,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
cross_section_geometry_version,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
geometry_descriptor_sha256,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
flow_condition_id,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
flow_condition_scope,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
weighting_basis,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
n_samples,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
occupancy_fraction,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
occupancy_fraction_uncertainty,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
tpd_bin_id,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
tpd_edge_norm_min,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
tpd_edge_norm_max,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
prs_edge20_bin_start,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
prs_edge20_bin_end,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
prs_bin_ids,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
prs_bin_count,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
mapping_status,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
not_prs_response_bin,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
not_chi_scalar,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
not_qch_eta,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
not_yield,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
not_winner,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
not_detection_probability,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
formal_qch_weighting_current,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
route_score_current,true,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
