term,allowed_context,positive_output_allowed,hard_fail_if,observed_positive_count
chi_selected,negative_fixture_or_blocked_use_only,false,chi_selected_positive_or_decision_use_true,0
q_ch*eta,negative_fixture_or_blocked_use_only,false,q_ch*eta_positive_or_decision_use_true,0
q_ch*chi*eta,negative_fixture_or_blocked_use_only,false,q_ch*chi*eta_positive_or_decision_use_true,0
formal_qch_weighting,negative_fixture_or_blocked_use_only,false,formal_qch_weighting_positive_or_decision_use_true,0
route_score,negative_fixture_or_blocked_use_only,false,route_score_positive_or_decision_use_true,0
JRC,negative_fixture_or_blocked_use_only,false,JRC_positive_or_decision_use_true,0
winner,negative_fixture_or_blocked_use_only,false,winner_positive_or_decision_use_true,0
yield,negative_fixture_or_blocked_use_only,false,yield_positive_or_decision_use_true,0
detection_probability,negative_fixture_or_blocked_use_only,false,detection_probability_positive_or_decision_use_true,0
wet_pass,negative_fixture_or_blocked_use_only,false,wet_pass_positive_or_decision_use_true,0
runtime,negative_fixture_or_blocked_use_only,false,runtime_positive_or_decision_use_true,0
production,negative_fixture_or_blocked_use_only,false,production_positive_or_decision_use_true,0
BFP_ROI_annulus,negative_fixture_or_blocked_use_only,false,BFP_ROI_annulus_positive_or_decision_use_true,0
