field,type,requirement,allowed_use,blocked_use,decision_use_allowed
selection_function_id,string,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
selection_function_version,string,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
selection_basis,enum,initial_position_edge_norm|transported_position_edge_norm|prs_edge20_edge_norm|transported_position_xz_norm,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
selection_source_system,enum,NODI|COMSOL|COMSOL_TO_NODI,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
edge_norm_definition,enum,max_abs_xz_norm,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
annulus_edge_norm_min,number,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
annulus_edge_norm_max,number,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
boundary_rule,enum,min_inclusive_max_inclusive,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
bin_schema,enum,edge_norm_4|edge_norm_20|exact_annulus_0p5_0p8|xz_norm_2d,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
weighting_basis,enum,event_count|velocity_weighted|residence_time_weighted|not_applicable,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
coordinate_frame_id,string,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
coordinate_frame_version,string,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
selection_status,enum,available_exact|available_context_partial|unavailable_empty|unbound|blocked_mixed_bin|blocked_coordinate_unverified|blocked_claim_promotion,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
allowed_use,string,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
blocked_use,string,required,schema_review;context_only_transport_annulus_diagnostic;PRS_edge20_mapping_validation;future_authorized_task_specification,chi_selected;q_ch*eta;q_ch*chi*eta;formal_qch_weighting;route_score;JRC;winner;yield;detection_probability;wet_pass;runtime;production;proof;pass_claim,false
