artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_STATUS_20260702.json,160611bfa95abc7d44a6e3cdac8b683ad43faf0fe55599b6d7d443150a1ce0c7,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
event_shards,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_EVENT_SHARD_ROWS_20260702.csv,5a608c9fa4f154cf630dbfc4c65ef5946339fd21dd53f9f592e39c9c6c5aecff,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
paired_deltas,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_PAIRED_DELTA_ROWS_20260702.csv,5a7c6a114cfbf784abf9092666babb5adb85de30b280e8c4b087a8ec80267d5c,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
axis_synthesis,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_AXIS_SYNTHESIS_ROWS_20260702.csv,bbe8e9d7afa0c84f2cf300543b3c66ea5f2b7ddbabc1beef6e1197b72d40693c,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
alignment_checks,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_ALIGNMENT_CHECK_ROWS_20260702.csv,de338aca1e849bdb6065dcfc4a43f5b28970acac61d552bcfce234454906079a,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
source_lock,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_SOURCE_LOCK_20260702.csv,5b96927fe7e50afbdfa554bdc6790b1060b09227997f8c1596480f20aaf98d25,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
dirty_context,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_DIRTY_CONTEXT_20260702.csv,9f6a35da23ad77d8f3108f987405ff4a3bdf5685ce66ea0e87f30426162c2744,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
report_json,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_REPORT_20260702.json,b5e85a569504b9c948368d06f98195029cff327854aedebc9e18e092e0fbae8b,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
master_report,reports/591_NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_20260702.md,0f3f075968ba66c1b345bf2996498f0cd799e7ddf274d9ca04dfe67dd3d792aa,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
manifest,reports/joint_interface_20260702/NODI_SIDEWALL_BOUNDED_EVENT_SHARDS_MANIFEST_20260702.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,"execute a bounded NODI event shard set to compare rectangle and sidewall contexts for dimension, selected-annulus, and response-map follow-up","production PRS, route winner, route score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, or true W_eff",bounded_nodi_event_context_for_sidewall_dimension_annulus_response_not_probability
