artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_STATUS_20260702.json,c7bbe1cba9c67adae5acce6cf8bc1cb7b1bd2741cd262ccc0f2441c66cfce93f,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
candidate_dimensions,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_CANDIDATE_DIMENSION_ROWS_20260702.csv,94feb77b8d37cf0ca8bbc20bc47694a41c2b2ae1bdffa2580ee94f5ad8289332,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
route_recommendations,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_ROUTE_RECOMMENDATION_ROWS_20260702.csv,f364cb26239799717155b0ad47cd8cc6008f68009e1592057824e9f5e68c82fb,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
answer_axis,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_ANSWER_AXIS_ROWS_20260702.csv,6c1304aa7d8770bdcad88d0ff4236638722b0fbb25d1ce2292876ea52ae9fbc4,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
validation,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_VALIDATION_ROWS_20260702.csv,aa8c80f82152d2eec5ba6b76e53c8a12247d936e72554badc9469635ff5d5361,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
source_lock,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_SOURCE_LOCK_20260702.csv,ce127fe4ce5ce76438014eb11c81be32044e4c077b3905a677c5847760ca4c37,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
dirty_context,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_DIRTY_CONTEXT_20260702.csv,4df0f7cf22ebf3e5662a8b470510de623ff8f9cc48c19cb37e60cb04c9a48274,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
failures,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_FAILURES_20260702.csv,9c6dede68bea170f6b8704524891fe8a91051f2da11bf22518bfcbb94b27f009,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
report_json,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_REPORT_20260702.json,1b5774b9449a7e969a24706c54834c6f4f233c9e3a2c607230340ac1a78d004c,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
manifest,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_DIMENSION_RECOMMENDATION_SYNTHESIS_MANIFEST_20260702.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,"synthesize candidate sidewall-aware dimension changes, selected-annulus tradeoffs, and interference-response context for next simulation planning","route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_dimension_recommendation_context_not_selection_not_probability
