artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_STATUS_20260702.json,3daf2a2b20390b5cb10527703baec5ff499952a1ed3cac9fba8bb34ab5fcce91,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
candidate_events,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_CANDIDATE_EVENT_ROWS_20260702.csv,4486041a716f965cabac7021370342006080644c8e0856859fa52fc52d09116d,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
candidate_deltas,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_CANDIDATE_DELTA_ROWS_20260702.csv,f884e11c2847e324109725ced1e7a25e6fde9e96cceaf0516cc0b6357cd1b1b4,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
route_summary,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_ROUTE_SUMMARY_ROWS_20260702.csv,4bc092264cb7a5a901fe9875066998db25835dbb7bab4713bd2efce8b2c6624f,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
answer_axis,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_ANSWER_AXIS_ROWS_20260702.csv,a7070231bdc141ac2457a748203201b0a73c6506e6febac815c5b4b9227cfa4a,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
validation,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_VALIDATION_ROWS_20260702.csv,e5a254272e71a878258e2f09367aa5fe3ce5a5c0c6c360bc3572c96de8aa3c2d,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
source_lock,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_SOURCE_LOCK_20260702.csv,2a35cb6333bb7b7710d73f360c340f57395d88a61837d3fadc42e0f43f30ad2a,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
dirty_context,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_DIRTY_CONTEXT_20260702.csv,091011b8183d5040db83ed486d5fd8ed462126855438cf31a68bf7cde66f6ad7,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
failures,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_FAILURES_20260702.csv,9c6dede68bea170f6b8704524891fe8a91051f2da11bf22518bfcbb94b27f009,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
report_json,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_REPORT_20260702.json,22e7574cfa582596cbe522e81e149f93114f85b9297edb25aa298bd9797f8114,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
manifest,reports/joint_interface_20260702/NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_MANIFEST_20260702.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
master_report,reports/599_NODI_SIDEWALL_CANDIDATE_ENVELOPE_HIGHER_EVENT_SWEEP_20260702.md,2f0a18d6c1ff93a856c01bb74f6946503f53a61c54c5d75bd8aceacac1f6033e,run higher-event sparse NODI context for sidewall-aware candidate envelope dimensions across PRS-approved particle diameters,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",candidate_envelope_higher_event_context_not_probability_not_selection
