dimension_case_id,paired_baseline_case_id,baseline_pair_required,baseline_pair_status,channel_cross_section_model,W_top_nm,depth_nm,sidewall_angle_convention,sidewall_deg_comsol,sidewall_taper_angle_deg_nodi,k_taper,W_bottom_unclipped_nm,W_bottom_runtime_clipped_nm,closure_status,closure_depth_nm,particle_diameter_nm,particle_radius_nm,center_accessible_support_model,center_accessible_area_nm2,rectangle_baseline_area_nm2,center_accessible_area_fraction_vs_rectangle,center_accessible_area_delta_vs_rectangle,particle_center_support_status,tail_particle_support_delta,dimension_recommendation_drift_class,dimension_band_shift_context,baseline_scope_not_extrapolated,qch_transport_input_only,qch_eta_current,yield_current,not_route_selection_claim,not_production_recommendation,claim_boundary,impact_matrix_version,row_id,matrix_axis,geometry_case_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_winner,not_yield,not_qch_weighted,not_true_W_eff,not_optical_solver_output
DIM-W500-D900-TH90-P40,DIM-W500-D900-TH90-P40,True,self_baseline,ideal_rectangle,500.0,900.0,comsol_from_horizontal,90.0,0.0,0.0,500.00000000000006,500.00000000000006,open,inf,40.0,20.0,wall_normal_half_plane_offset_v1,395600.0000000001,395600.0,1.0000000000000002,2.220446049250313e-16,open,not_tail_sensitive,unchanged_candidate,rectangle_limit_or_negligible_area_delta,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH90-P40,dimension_recommendation_sensitivity,DIM-W500-D900-TH90-P40,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH90-P60,DIM-W500-D900-TH90-P60,True,self_baseline,ideal_rectangle,500.0,900.0,comsol_from_horizontal,90.0,0.0,0.0,500.00000000000006,500.00000000000006,open,inf,60.0,30.0,wall_normal_half_plane_offset_v1,369600.00000000006,369600.0,1.0000000000000002,2.220446049250313e-16,open,not_tail_sensitive,unchanged_candidate,rectangle_limit_or_negligible_area_delta,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH90-P60,dimension_recommendation_sensitivity,DIM-W500-D900-TH90-P60,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH90-P100,DIM-W500-D900-TH90-P100,True,self_baseline,ideal_rectangle,500.0,900.0,comsol_from_horizontal,90.0,0.0,0.0,500.00000000000006,500.00000000000006,open,inf,100.0,50.0,wall_normal_half_plane_offset_v1,320000.00000000006,320000.0,1.0000000000000002,2.220446049250313e-16,open,not_tail_sensitive,unchanged_candidate,rectangle_limit_or_negligible_area_delta,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH90-P100,dimension_recommendation_sensitivity,DIM-W500-D900-TH90-P100,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH90-P150,DIM-W500-D900-TH90-P150,True,self_baseline,ideal_rectangle,500.0,900.0,comsol_from_horizontal,90.0,0.0,0.0,500.00000000000006,500.00000000000006,open,inf,150.0,75.0,wall_normal_half_plane_offset_v1,262500.00000000006,262500.0,1.0000000000000002,2.220446049250313e-16,open,not_tail_sensitive,unchanged_candidate,rectangle_limit_or_negligible_area_delta,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH90-P150,dimension_recommendation_sensitivity,DIM-W500-D900-TH90-P150,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH90-P220,DIM-W500-D900-TH90-P220,True,self_baseline,ideal_rectangle,500.0,900.0,comsol_from_horizontal,90.0,0.0,0.0,500.00000000000006,500.00000000000006,open,inf,220.0,110.0,wall_normal_half_plane_offset_v1,190400.00000000006,190400.0,1.0000000000000002,2.220446049250313e-16,open,not_tail_sensitive,unchanged_candidate,rectangle_limit_or_negligible_area_delta,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH90-P220,dimension_recommendation_sensitivity,DIM-W500-D900-TH90-P220,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH90-P300,DIM-W500-D900-TH90-P300,True,self_baseline,ideal_rectangle,500.0,900.0,comsol_from_horizontal,90.0,0.0,0.0,500.00000000000006,500.00000000000006,open,inf,300.0,150.0,wall_normal_half_plane_offset_v1,120000.00000000001,120000.0,1.0000000000000002,2.220446049250313e-16,open,not_tail_sensitive,unchanged_candidate,rectangle_limit_or_negligible_area_delta,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH90-P300,dimension_recommendation_sensitivity,DIM-W500-D900-TH90-P300,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH89-P40,DIM-W500-D900-TH90-P40,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,89.0,1.0,0.017455064928217585,468.5808831292084,468.5808831292084,open,14322.49040768986,40.0,20.0,wall_normal_half_plane_offset_v1,382084.5396608492,395600.0,0.9658355400931476,-0.03416445990685235,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH89-P40,dimension_recommendation_sensitivity,DIM-W500-D900-TH89-P40,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH89-P60,DIM-W500-D900-TH90-P60,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,89.0,1.0,0.017455064928217585,468.5808831292084,468.5808831292084,open,14322.49040768986,60.0,30.0,wall_normal_half_plane_offset_v1,356396.29358085466,369600.0,0.9642756860953859,-0.03572431390461406,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH89-P60,dimension_recommendation_sensitivity,DIM-W500-D900-TH89-P60,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH89-P100,DIM-W500-D900-TH90-P100,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,89.0,1.0,0.017455064928217585,468.5808831292084,468.5808831292084,open,14322.49040768986,100.0,50.0,wall_normal_half_plane_offset_v1,307420.16700817074,320000.0,0.9606880219005336,-0.039311978099466405,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH89-P100,dimension_recommendation_sensitivity,DIM-W500-D900-TH89-P100,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
DIM-W500-D900-TH89-P150,DIM-W500-D900-TH90-P150,True,paired_rectangle_baseline_present,trapezoid_tapered_sidewalls,500.0,900.0,comsol_from_horizontal,89.0,1.0,0.017455064928217585,468.5808831292084,468.5808831292084,open,14322.49040768986,150.0,75.0,wall_normal_half_plane_offset_v1,250700.69426851353,262500.0,0.9550502638800515,-0.04494973611994846,open,not_tail_sensitive,unchanged_candidate,sidewall_reduces_center_accessible_area,True,True,False,False,True,True,sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only,sidewall_geometry_effects_impact_matrix_v1,DIM-W500-D900-TH89-P150,dimension_recommendation_sensitivity,DIM-W500-D900-TH89-P150,"[""588_NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_20260702"", ""cross_section_geometry.py"", ""sidewall_selected_annulus_context.py"", ""sidewall_reference_surrogate_candidate.py"", ""reference_field.py""]","evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",True,True,True,True,True,True
