artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_STATUS_20260702.json,b338da523bfc4cbfc243c2d5b88756d73cd293acf2206f720af7e26d708376ab,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
dimension_drift,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_DIMENSION_RECOMMENDATION_DRIFT_ROWS_20260702.csv,df6fd397bb9e96d41379532528e1e4de5cce86934bda6f00e726ffd02a9996a6,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
annulus_remap,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_SELECTED_ANNULUS_REMAP_ROWS_20260702.csv,13197d52f1b85987d721a41f8ae8ac4e04620f7d751b83dbd03f2f9dab26849b,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
response_sensitivity,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_INTERFERENCE_RESPONSE_SENSITIVITY_ROWS_20260702.csv,31881ceadaa085362a272c34a398533d1739fb4ca7eb1426ae6ed17b2db9e2d7,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
axis_synthesis,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_AXIS_SYNTHESIS_ROWS_20260702.csv,5d64176b1e18a80579506eb5e06c71fabf088880e80a1531a3dc56aadea6fb7e,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
alignment_checks,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_ALIGNMENT_CHECK_ROWS_20260702.csv,95ca942965adee0be304870328bdcf451b8f4909aa04f453ab7de845a48aa063,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
source_lock,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_SOURCE_LOCK_20260702.csv,61247a866dabf7266f0e8317eab3dcb197f50099cbb22cd1ec574eebcf76c64c,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
dirty_context,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_DIRTY_CONTEXT_20260702.csv,777df6431787f35bdbe050c2d155e5fe55db026c89b929e7c21099ccec0332bf,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
report_json,reports/joint_interface_20260702/NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_REPORT_20260702.json,682f38fd67948a7ba05d6c4886f66aeccbf658680a317ec96eb80b5718aae54f,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
master_report,reports/589_NODI_SIDEWALL_GEOMETRY_EFFECTS_IMPACT_MATRIX_20260702.md,e87c4e5ea16cd36df3dfbd1ab2fea4f35fa266d8c23c333d7efc76b8a30e5d0b,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
