source_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
mainline_refocus_status,reports/joint_interface_20260702/NODI_SIDEWALL_MAINLINE_REFOCUS_LOCK_STATUS_20260702.json,true,a573e585ad8c9cc07d4ab0d80b1b91722a92fe6b59b1d1cf5427fb41c169847a,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
comsol_v4_upper_alignment_status,reports/joint_interface_20260702/NODI_COMSOL_V4_UPPER_ASSUMPTION_ALIGNMENT_STATUS_20260702.json,true,c58b8ab38395811ad1fc192cc60398392b913178ebc8d38c4d3b9f301241d1f0,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
comsol_v4_alignment_extension_status,reports/joint_interface_20260702/NODI_COMSOL_V4_ALIGNMENT_EXTENSION_STATUS_20260702.json,true,11016c1c382d107ad61f41b1cb9d0a4ccbe8fa94bc577060d975fc90678be6a3,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
cross_section_geometry,nodi_simulator/cross_section_geometry.py,true,1ea0db3cb9979519a3fa98f2bb4a55837cf741755f8074ecc81e473f12520ee9,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
selected_annulus_context,nodi_simulator/sidewall_selected_annulus_context.py,true,52a36dfaadde59b2abe3d9522b3962701157248e046f296046dd3ff715149710,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
reference_surrogate_candidate,nodi_simulator/sidewall_reference_surrogate_candidate.py,true,876b66e9bde7269e743c792678b933d31935ed6def89030107aeb914d474ca47,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
optical_reference_smoke,nodi_simulator/sidewall_optical_reference_smoke.py,true,51968b574e027c3e1e1f73041301c06f218a4a0764ce6a8502c0437d486d0ead,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
reference_field,nodi_simulator/reference_field.py,true,52ee906b289926d78d0c05dc33a85ccf24ee6cb0c3cfecf27d21bec9ae451723,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
impact_matrix_builder,tools/audits/build_nodi_sidewall_geometry_effects_impact_matrix.py,true,856f7001c520cf9542d83fafe9cc573dddbf1627cabe726a3b17f7937c70c753,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
impact_matrix_tests,tests/test_nodi_sidewall_geometry_effects_impact_matrix.py,true,20fc4bd76f31ea98544d3c58bf7ec6de8ed7572c4ae1b7732da7aa56300c8f08,"evaluate how sidewall angle changes NODI dimension windows, selected-annulus coordinates, and interference-response surrogates before larger simulations","route selection, scalar scoreboard, production recommendation, wet claim, full optical solver claim, q_ch weighting, or final detection/yield conclusion",sidewall_angle_effect_matrix_for_dimensions_annulus_and_interference_only
