source_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
comsol_v4_upper_alignment_status,reports/joint_interface_20260702/NODI_COMSOL_V4_UPPER_ASSUMPTION_ALIGNMENT_STATUS_20260702.json,true,c58b8ab38395811ad1fc192cc60398392b913178ebc8d38c4d3b9f301241d1f0,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
comsol_v4_alignment_extension_status,reports/joint_interface_20260702/NODI_COMSOL_V4_ALIGNMENT_EXTENSION_STATUS_20260702.json,true,11016c1c382d107ad61f41b1cb9d0a4ccbe8fa94bc577060d975fc90678be6a3,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_simulation_release_envelope,reports/585_NODI_PACKAGE_C_SIDEWALL_SIMULATION_RELEASE_ENVELOPE_20260701.md,true,c6cec57ab900e36d6d5ab9484d3d74ef1a6da2c58d1407781b355f55f0a5aaab,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_route_correction,reports/580_NODI_PACKAGE_C_SIDEWALL_SIMULATION_ASSUMPTION_ROUTE_CORRECTION_20260702.md,true,bc81f7cc46c8f1448cd98b6e3d79830fcd37e6be501d810a7ec5cbfd525949b9,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_selected_annulus_context,nodi_simulator/sidewall_selected_annulus_context.py,true,52a36dfaadde59b2abe3d9522b3962701157248e046f296046dd3ff715149710,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_reference_surrogate_candidate,nodi_simulator/sidewall_reference_surrogate_candidate.py,true,876b66e9bde7269e743c792678b933d31935ed6def89030107aeb914d474ca47,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_optical_reference_smoke,nodi_simulator/sidewall_optical_reference_smoke.py,true,51968b574e027c3e1e1f73041301c06f218a4a0764ce6a8502c0437d486d0ead,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
position_response_surface_validator,tools/audits/validate_nodi_position_response_surface.py,true,7f75d36289ef136bdf48b0e5af363964939e20748ce8d3290e7028121b5af346,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_integrated_promotion_ledger,nodi_simulator/sidewall_integrated_promotion_ledger.py,true,f359f4a91701fc26ed438ed5119165738a4736dc748020e06a9d52891448ae1b,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
sidewall_winner_jrc_policy_review,nodi_simulator/sidewall_winner_jrc_policy_review.py,true,62f2d23f30ebb445a6bec8df67fe51766664391158f006e7b8d7090ae27ef0a2,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
mainline_refocus_builder,tools/audits/build_nodi_sidewall_mainline_refocus_lock.py,true,059c4d2f5c3139c3bfaf4ed919c61ebdefc14457a8f8f854ec0ecf97183e858b,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
mainline_refocus_tests,tests/test_nodi_sidewall_mainline_refocus_lock.py,true,886b6b50603ce3bd16df5798d0e4b40a191467260b33086e3128df85986a0ef4,"govern sidewall-angle work toward dimension recommendation drift, selected-annulus remapping, and interference-enhancement sensitivity",route winner as the primary question; score-board driven comparison; waiting for real experiments before simulation progress; collapsing ideal rectangle and trapezoid into one geometry,sidewall_angle_effect_on_recommendation_annulus_interference_not_route_winner
