artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_STATUS_20260702.json,517d9d67480008dca027abc15e17dcacd83142a5ef4f1a820c447d718ac96e90,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
dimension_windows,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_DIMENSION_WINDOW_ROWS_20260702.csv,14f34c12e836596f12a8a96ec2e17fc1bcb4c4d2ca7ff8372c2d10007c4af60c,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
response_bins,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_TRAPEZOID_LOCAL_RESPONSE_BIN_ROWS_20260702.csv,c0fc7d9d39c7c473c996ebc7d7f5cb24c4499fe4fdafff2386f394f4618df8ff,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
selected_annulus,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_SELECTED_ANNULUS_EXPANSION_ROWS_20260702.csv,f567e0f70349e1813fe2dd2bac88f0225f5dcda3bb700cdfe040b48472dbe1c3,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
axis_synthesis,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_AXIS_SYNTHESIS_ROWS_20260702.csv,4efc98d4ebe66fc922ff0aeedc02b219a3c9b8e77caf7b8806bb7da839d4165c,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
alignment_checks,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_ALIGNMENT_CHECK_ROWS_20260702.csv,4bb85c5ef36163155bf1a875e6feaaa841c23b6fa1f6ce04b5ae77ca2de8d475,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
source_lock,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_SOURCE_LOCK_20260702.csv,7636a174dfb4447fa75721197f55f9d4494017a8deb093c2911d8f55a985c459,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
dirty_context,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_DIRTY_CONTEXT_20260702.csv,6027054fb0e3bc8fbe27383847a618e20fc4c822e473f54423d02aa8f4ab58ba,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
report_json,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_REPORT_20260702.json,bc815e68166a222e5e930101cf5d229b195e8749ef6f1102da5304fcd036c26c,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
master_report,reports/590_NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_20260702.md,d9d9cb3e82a3b8776aa307448393857b008c050909edadefba535564c0954c1c,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
manifest,reports/joint_interface_20260702/NODI_SIDEWALL_MULTIWIDTH_RESPONSE_EXPANSION_MANIFEST_20260702.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,expand sidewall-angle sensitivity across PRS-approved width/depth/wavelength routes and produce trapezoid-local response-bin simulation context,"route winner, route score, fabrication release, production recommendation, true W_eff, detection probability, wet yield, q_ch weighting, or full optical solver",multiwidth_sidewall_dimension_annulus_response_expansion_not_route_score
