artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_STATUS_20260702.json,1c5f448d19615db315964a9f0689ef6c90f46fa719c2d49e0970894ce14515ea,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
event_rows,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_EVENT_ROWS_20260702.csv,279b96f44d381a26d09daa1005f791deba05a170ca55cacbd2e8db61482fdc43,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
paired_delta_rows,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_PAIRED_DELTA_ROWS_20260702.csv,1d118423101c54e5df1cc03f51013a4c27953a5f2f67b6b9e9f42e03bb26295d,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
axis_summary,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_AXIS_SUMMARY_ROWS_20260702.csv,b7ef3bcef9272eecdc5b2fcfccba477ba8b25486cc35e62434f9927752a1d44b,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
alignment_checks,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_ALIGNMENT_CHECKS_20260702.csv,01e2282ff3d443bd5328d6b7075b65d1f57f02deb0fe8ea1f77806a0973b826a,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
source_lock,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_SOURCE_LOCK_20260702.csv,6bd76a7393c26d5e818a1a4e2b126c805f18335da2efddffe638df977335217a,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
dirty_context,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_DIRTY_CONTEXT_20260702.csv,72c403e85a37d7c2419d1bdcf3ad37de1dad7ee26d611c8224efadeb4342abc3,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
failures,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_FAILURES_20260702.csv,9c6dede68bea170f6b8704524891fe8a91051f2da11bf22518bfcbb94b27f009,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
report_json,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_REPORT_20260702.json,b04a75ee9c415941d16daa1332b9d3f307a87b6d7dc9e43aaf12e7898e216767,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
manifest,reports/joint_interface_20260702/NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_MANIFEST_20260702.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
master_report,reports/595_NODI_SIDEWALL_PRIMARY85_FULL_BOUNDED_EVENT_EXPANSION_20260702.md,bb4e7a59df0f25efffcde78020a347f21d113010519c004b6cc8d0abe1715d07,execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",full_primary85_bounded_event_context_not_probability_not_selection
