expansion_version,row_id,source_artifacts_json,allowed_use,blocked_use,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_prs,claim_boundary,delta_case_id,route_id_nodi,route_id_nodi_role,diameter_nm,baseline_sidewall_deg_comsol,sidewall_deg_comsol,synthetic_counting_context_rate_delta,mean_peak_height_delta,mean_local_snr_delta,selected_annulus_fraction_delta,selected_annulus_mean_edge_norm_delta,delta_status
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P40-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P40-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,40,90.0,85.0,0.5,0.18621172258629573,141.87298519429984,0.0,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P60-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P60-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,60,90.0,85.0,0.0,-0.46432426960323814,-963.0921968998878,-0.5,0.001005824265478461,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P100-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P100-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,100,90.0,85.0,0.0,-0.668261926503039,2781.1934423361017,0.0,-0.09884969942664878,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P150-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P150-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,150,90.0,85.0,0.0,2.145604426806017,61678.16412100929,0.5,-0.007498956639702792,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P220-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P220-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,220,90.0,85.0,0.0,3.5176584920384926,31806.99403687747,0.0,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P230-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P230-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,230,90.0,85.0,0.0,1.5922665826815319,-118129.96371362044,0.0,-0.0014229723818411921,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P240-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P240-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,240,90.0,85.0,0.0,-1.6254154691943086,225604.9908871383,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P250-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P250-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,250,90.0,85.0,0.0,0.9058216872183493,112059.99081655976,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P260-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P260-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,260,90.0,85.0,0.0,-9.070290203282866,220517.3540504817,-0.5,,executed_delta_context
sidewall_primary85_full_bounded_event_expansion_v1,FULL-DELTA-404_W500_D1200-P270-TH85_vs_TH90,"[""594_NODI_SIDEWALL_RECOMMENDED_DIMENSION_UPDATE_PACKET_20260702"", ""591_bounded_event_runner"", ""PRS_APPROVED_ROUTE_MATRIX"", ""PRS_APPROVED_DIAMETERS_NM""]",execute sparse full-coverage NODI bounded event context for PRS-approved routes and diameters under rectangle/85deg sidewall pairing,"production PRS, route winner, scalar score, final detection probability, yield, wet claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",True,True,True,True,True,True,True,full_primary85_bounded_event_context_not_probability_not_selection,FULL-DELTA-404_W500_D1200-P270-TH85_vs_TH90,404/W500/D1200,join_key_only_not_selection,270,90.0,85.0,0.0,8.580634596907203,-335062.07294401154,0.0,0.004423935973454696,executed_delta_context
