packet_version,claim_boundary,primary_sidewall_deg_comsol,not_detection_probability,not_yield,not_selection_metric_claim,not_qch_weighted,not_true_effective_width_claim,not_production_recommendation,allowed_use,blocked_use,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,row_id,route_id_nodi,route_id_role,lambda_nm,W_nominal_nm,D_nm,diameter_nm,sidewall_deg_comsol,dimension_change_signal,dimension_update_action,W_top_compensated_proxy_nm,top_width_compensation_proxy_nm,bottom_throat_loss_nm,center_accessible_area_fraction_vs_rectangle,closure_status,annulus_update_action,annulus_context_status,annulus_accessible_fraction,annulus_changed_source_available,interference_update_action,interference_context_status,surrogate_response_delta_mean,bounded_event_delta_available,bounded_event_mean_peak_height_delta,bounded_event_mean_local_snr_delta,update_packet_status
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P40-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,40,85.0,moderate_shift,revise_margin_before_runtime_use,578.8925906750654,78.89259067506545,157.47959434666313,0.8284943680976838,open,retain_0p5_0p8_with_trapezoid_coordinate_remap,selected_annulus_accessible,1.0,True,surrogate_response_shift_check,surrogate_context_available,-0.011580419449876221,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P60-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,60,85.0,moderate_shift,revise_margin_before_runtime_use,578.9689874259324,78.9689874259324,157.47959434666313,0.8205250285774264,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P100-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,100,85.0,moderate_shift,revise_margin_before_runtime_use,579.1217809276664,79.1217809276663,157.47959434666313,0.8021955476808342,open,retain_0p5_0p8_with_trapezoid_coordinate_remap,selected_annulus_accessible,1.0,True,bounded_event_context_shift_observed,sparse_event_context_available,-0.18094405390431595,True,0.7559498104028552,6466.072443996913,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P150-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,150,85.0,moderate_shift,revise_margin_before_runtime_use,579.3127728048337,79.31277280483364,157.47959434666313,0.7733920777004754,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P220-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,220,85.0,tail_sensitive_shift,widen_or_shallow_for_particle_support,579.580161432868,79.580161432868,157.47959434666313,0.7157851377397572,open,retain_0p5_0p8_with_trapezoid_coordinate_remap,selected_annulus_accessible,1.0,True,bounded_event_context_shift_observed,sparse_event_context_available,-1.9266922859731572,True,1.0405072174864927,-23069.18579057092,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P230-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,230,85.0,tail_sensitive_shift,widen_or_shallow_for_particle_support,579.6183598083014,79.6183598083014,157.47959434666313,0.7051171858951799,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P240-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,240,85.0,tail_sensitive_shift,widen_or_shallow_for_particle_support,579.6565581837349,79.65655818373493,157.47959434666313,0.6936286223702502,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P250-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,250,85.0,tail_sensitive_shift,widen_or_shallow_for_particle_support,579.6947565591685,79.69475655916845,157.47959434666313,0.6812209737633261,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P260-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,260,85.0,tail_sensitive_shift,widen_or_shallow_for_particle_support,579.7329549346018,79.73295493460182,157.47959434666313,0.667779354439159,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
sidewall_recommended_dimension_update_packet_v1,sidewall_dimension_update_policy_not_route_selection_not_probability,85.0,True,True,True,True,True,True,translate sidewall-angle synthesis into dimension/annulus/response update actions for simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,UPD-404_W500_D900-P270-TH85,404/W500/D900,join_key_only_not_selection,404,500,900,270,85.0,tail_sensitive_shift,widen_or_shallow_for_particle_support,579.7711533100353,79.77115331003534,157.47959434666313,0.6531688986520202,open,not_sampled_for_this_particle_diameter,annulus_support_requires_followup_or_interpolation,,False,not_sampled_for_this_particle_diameter,response_sensitivity_requires_followup_or_interpolation,,False,,,sidewall_update_context_ready
