artifact_id,path,sha256,allowed_use,blocked_use,claim_boundary
status,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_STATUS_20260703.json,a51bfdf2806ac1daff2eab7777b681b575990afaf4389345aeeb71a867fbe4d2,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
route_followup,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_ROUTE_FOLLOWUP_ROWS_20260703.csv,37f934c98e5be6fa1e6029a93e39877b393fa56073b652b5705a14c51e8de676,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
window_family,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_WINDOW_FAMILY_ROWS_20260703.csv,51575ece39ed60cea50abea6633262924b09873c48a6ee5dacb6d70872dccbdc,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
answer_axis,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_ANSWER_AXIS_ROWS_20260703.csv,212b4139cde490b71f7dd8a9ee06039fbd2f316a243a3342fa49eef8c892495f,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
validation,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_VALIDATION_ROWS_20260703.csv,b043dd6f43f9918a47ebdf69bd4d39db694c66ae0155c6524de07815e384d4e5,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
source_lock,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_SOURCE_LOCK_20260703.csv,bd6771c41b4cefe8b316c75641a642caa0aaef7b2cbfae14010263f3c358ac03,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
dirty_context,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_DIRTY_CONTEXT_20260703.csv,eed23c71229deddc61989dfe0382e72e30f0f0415b0b787490e19b31e7ae6690,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
failures,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_FAILURES_20260703.csv,9c6dede68bea170f6b8704524891fe8a91051f2da11bf22518bfcbb94b27f009,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
report_json,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_REPORT_20260703.json,3971e765a4f60ff5b89e37b803bd904c54adee59c9719236261c9ac7b2aa49c0,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
manifest,reports/joint_interface_20260703/NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_MANIFEST_20260703.csv,SELF_MANIFEST_NOT_SELF_HASHED_BY_DESIGN,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
master_report,reports/601_NODI_SIDEWALL_ANNULUS_WINDOW_FOLLOWUP_SYNTHESIS_20260703.md,04df5fdef37b057654cef5e5452d534663ecd1f737794258ea283b41ac5df73f,synthesize sidewall candidate-envelope annulus-window follow-up context for next simulation planning,"route winner, scalar score, final detection probability, yield, wet experimental claim, fabrication release, q_ch weighting, true W_eff, or production runtime ingestion",annulus_window_followup_context_not_probability_not_selection
