source_id,path,exists,sha256,allowed_use,blocked_use,claim_boundary
result_lock_status_604,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_RESULT_LOCK_STATUS_20260703.json,true,b5a84637c0d243496c01f84ec4887e8f794c462f096597879e64dde3c41226a1,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
result_lock_route_rows_604,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_RESULT_LOCK_ROUTE_RESULT_ROWS_20260703.csv,true,44fb5f4c86fbe0d2a2374965f04ba89e6d77a4750d1258a785605dc5ce537167,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
result_lock_question_rows_604,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_RESULT_LOCK_QUESTION_RESULT_ROWS_20260703.csv,true,8e262986bdf0fc09a60beab89aa50982f078d4784e39ed94befc588974e82505,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
result_lock_next_action_rows_604,reports/joint_interface_20260703/NODI_SIDEWALL_THREE_QUESTION_RESULT_LOCK_NEXT_ACTION_ROWS_20260703.csv,true,955bb56ee38f95331a2cd5eb1dafcc2e7e707794c6d8247ecd75bdf008262afc,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
followup_status_603,reports/joint_interface_20260703/NODI_SIDEWALL_FOLLOWUP_WINDOW_HIGHER_EVENT_SWEEP_STATUS_20260703.json,true,517e78920ae708218f2bceb5d4962e3efdace24a5d332fe3c581b0b3cb0a5c7e,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
followup_event_rows_603,reports/joint_interface_20260703/NODI_SIDEWALL_FOLLOWUP_WINDOW_HIGHER_EVENT_SWEEP_EVENT_ROWS_20260703.csv,true,cc6f9e26bb1bbe193e7a1b385e675f5884373e8fae19dbc3b40336112696b4e5,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
followup_window_summary_rows_603,reports/joint_interface_20260703/NODI_SIDEWALL_FOLLOWUP_WINDOW_HIGHER_EVENT_SWEEP_ROUTE_WINDOW_SUMMARY_ROWS_20260703.csv,true,26cbb5b304f991c1ac23883a692ff86dc5917b8ccd7fd4e9d5576f8fee4b69c8,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
comsol_v4_transport_frozenflow_220nm_context,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\ev_pbs_v4_normal_transport_frozenflow_smoke_20260630\stage119_sw085p0_d1p2_biasp000p0nm_ch70_d220nm\EV_PBS_V4_NORMAL_NANOCHANNEL_TRANSPORT_FROZENFLOW_SMOKE_20260630_RESULTS_stage119_sw085p0_d1p2_biasp000p0nm_ch70_d220nm.csv,true,9f1637ef9367894558a1c3b17e610318d787590392817550fa05ccfb7d7b692b,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
comsol_v4_transport_frozenflow_300nm_context,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\ev_pbs_v4_normal_transport_frozenflow_smoke_20260630\stage119_sw085p0_d1p2_biasp000p0nm_ch70_d300nm\EV_PBS_V4_NORMAL_NANOCHANNEL_TRANSPORT_FROZENFLOW_SMOKE_20260630_RESULTS_stage119_sw085p0_d1p2_biasp000p0nm_ch70_d300nm.csv,true,fc509863cfc23fe39b5f4b5f1280124443502ad1381a922ef3257839d74fb68e,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
comsol_v4_near_wall_shell_context,C:\Users\Yan\Desktop\Yan\codex project\comsol test\comsol_ev_pbs_bonded_cross_junction\full_chip\dwg_analysis\ev_pbs_v4_normal_near_wall_shell_extraction_smoke_20260630\stage119_sw085p0_d1p2_biasp000p0nm\EV_PBS_V4_NORMAL_NANOCHANNEL_NEAR_WALL_SHELL_EXTRACTION_SMOKE_20260630_RESULTS_stage119_sw085p0_d1p2_biasp000p0nm.csv,true,bcfdab63cdb5cf11091e7f3ad3b32b1819e7cac866392009e521c0051e93a72a,bridge the 604 sidewall dimension/annulus/interference result lock to COMSOL-v4-aligned cross-section distribution weighting and full NODI recompute planning,"treating COMSOL descriptor rows as an exact P(x,u) probability grid, final route conclusion, final yield/detection result, q_ch weighting, true W_eff, or production runtime ingestion from this bridge artifact",distribution_bridge_and_recompute_queue_not_final_probability_result
