synthesis_version,row_id,allowed_use,blocked_use,claim_boundary,not_exact_pxu_probability_grid,not_detection_probability,not_yield,not_selection_metric_claim,not_winner,not_qch_weighted,not_true_W_eff,not_production_recommendation,decision_use_allowed,comsol_v4_assumption_set_id,comsol_v4_assumption_set_version,comsol_v4_assumption_set_sha256,source_full_recompute_row_id,source_route_id_nodi,candidate_envelope_route_id_nodi,route_id_role,annulus_window_id,diameter_nm,n_events_requested,n_events_observed,full_recompute_execution_status,weighting_mode,comsol_weight_profile_diameter_nm,window_probability_mass_surrogate,selected_annulus_fraction,weighted_selected_annulus_fraction_surrogate,mean_peak_height,mean_local_snr,weighted_peak_height_contribution,weighted_local_snr_contribution,weight_claim_level
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P40-N32-TH85-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P40-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,40,32,32,executed_full_nodi_recompute,uniform_edge_mass,220,0.29999999999999993,0.34375,0.10312499999999998,0.19828748508340163,282.4902422031109,0.05948624552502048,84.74707266093324,uniform_surrogate
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P40-N32-TH85-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P40-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,40,32,32,executed_full_nodi_recompute,comsol_outlet_flux_fraction,220,0.3038099961013544,0.34375,0.10443468615984057,0.19828748508340163,282.4902422031109,0.06024172007013562,85.82335938239778,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P40-N32-TH85-comsol_residence_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P40-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,40,32,32,executed_full_nodi_recompute,comsol_residence_fraction,220,0.35183815564763465,0.34375,0.12094436600387441,0.19828748508340163,282.4902422031109,0.0697651030397519,99.39084580519614,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P60-N32-TH85-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P60-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,60,32,32,executed_full_nodi_recompute,uniform_edge_mass,220,0.29999999999999993,0.40625,0.12187499999999997,1.529709103528304,2555.1845683890833,0.45891273105849106,766.5553705167248,uniform_surrogate
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P60-N32-TH85-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P60-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,60,32,32,executed_full_nodi_recompute,comsol_outlet_flux_fraction,220,0.3038099961013544,0.40625,0.12342281091617523,1.529709103528304,2555.1845683890833,0.46474091677914037,776.2906137605283,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P60-N32-TH85-comsol_residence_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P60-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,60,32,32,executed_full_nodi_recompute,comsol_residence_fraction,220,0.35183815564763465,0.40625,0.14293425073185156,1.529709103528304,2555.1845683890833,0.5382100296627951,899.0114258813124,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P100-N32-TH85-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P100-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,100,32,32,executed_full_nodi_recompute,uniform_edge_mass,220,0.29999999999999993,0.375,0.11249999999999998,15.460228212388753,30594.7671348969,4.638068463716625,9178.430140469069,uniform_surrogate
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P100-N32-TH85-comsol_outlet_flux_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P100-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,100,32,32,executed_full_nodi_recompute,comsol_outlet_flux_fraction,220,0.3038099961013544,0.375,0.1139287485380079,15.460228212388753,30594.7671348969,4.696971872931877,9294.996083974873,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P100-N32-TH85-comsol_residence_fraction,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P100-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,100,32,32,executed_full_nodi_recompute,comsol_residence_fraction,220,0.35183815564763465,0.375,0.131939308367863,15.460228212388753,30594.7671348969,5.439498180138386,10764.406441210993,comsol_transport_bin_surrogate_not_exact_pxu
sidewall_full_recompute_distribution_weighted_lock_v1,WEIGHTED-FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P150-N32-TH85-uniform_edge_mass,"execute or plan full NODI recompute coverage for the sidewall branch, then lock distribution-weighted dimension, annulus, and interference-response context","exact P(x,u) probability claim, route winner, scalar score, final yield, final detection probability, wet experimental claim, q_ch weighting, true W_eff, or production runtime ingestion",full_nodi_recompute_distribution_weighted_context_not_exact_pxu,True,True,True,True,True,True,True,True,False,EV_PBS_SAMPLE_SURFACE_ASSUMPTION_SET_V4_20260627,4.0.0,2bd97d7684a582343da05bc519f47d598baf29efa5e0157ea8330e9fae223d92,FULL-FUW-404_W500_D1200-to-404_W607_D1200-A0p4_0p7-P150-N32-TH85,404/W500/D1200,404/W607/D1200,full_recompute_weighted_context_not_selection,0p4_0p7,150,32,32,executed_full_nodi_recompute,uniform_edge_mass,220,0.29999999999999993,0.4375,0.13124999999999998,77.63826566512317,147352.73770257414,23.291479699536946,44205.82131077223,uniform_surrogate
