route_key,wavelength_nm,width_nm,depth_nm,ev_pass_criterion_id,ev_pass_criterion_claim_level,ev_prior_score_p10_relative_proxy,ev_polydispersity_profile_id,ev_polydispersity_pass_fraction_proxy,contaminant_panel_id,contaminant_pass_fraction,contaminant_overlap_relative_proxy,contaminants_included_in_route_score,anchor_particles_included,biological_specificity_claim_allowed,true_ev_concentration_claim_allowed,count_or_concentration_interpretation_allowed,coincidence_event_overlap_proxy_definition,coincidence_event_overlap_proxy_label,coincidence_claim_level
404/W500/D500,404,500,500,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.5129847905283019,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D550,404,500,550,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.4183263229336275,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D600,404,500,600,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.32607616649042565,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D650,404,500,650,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3105066381772204,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D700,404,500,700,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.29460850836847075,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D800,404,500,800,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3306328841136031,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D900,404,500,900,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3353350753751476,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D1000,404,500,1000,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.33477556718291984,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D1100,404,500,1100,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.3409743486543199,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
404/W500/D1200,404,500,1200,relative_ev_prior_stability_and_engineering_gate_floor_v1,relative_score_rank_only,-0.35089962578208145,v1_biomimetic_corona_nominal_size_panel,0.9,gold_anchor_contaminant_diagnostic_only,0.0,1.0,False,False,False,False,False,relative_proxy_from_event_doublet_or_overlap_risk_no_count_or_concentration_claim,non_fragile,relative_blended_pulse_proxy_only
