candidate_a,candidate_b,comparison_stratum,scalar_order,bfp_order,tsuyama_order,noise_robustness_order,ev_uncertainty_order,selected_annulus_order,pairwise_inversion_flag,pairwise_inversion_reason,candidate_a_route_role_final,candidate_b_route_role_final
main_660_W800_D1400,control_660_W700_D1500,main_vs_control,candidate_a_above_b,candidate_b_above_a,candidate_b_above_a,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,relative_main_candidate,relative_control_candidate
main_660_W800_D1500,control_660_W700_D1500,main_vs_control,candidate_a_above_b,candidate_b_above_a,tie,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,relative_main_candidate,relative_control_candidate
main_660_W800_D1400,optional_660_W900_D1400,main_vs_optional_probe,candidate_b_above_a,candidate_b_above_a,tie,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,relative_main_candidate,optional_robustness_probe_only
main_660_W800_D1500,optional_660_W900_D1400,main_vs_optional_probe,candidate_a_above_b,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,relative_main_candidate,optional_robustness_probe_only
historical_v1_488_W600_D1500,main_660_W800_D1400,historical_vs_current_main,candidate_b_above_a,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,surrogate_sensitive_not_promoted,relative_main_candidate
historical_v1_488_W600_D1500,main_660_W800_D1500,historical_vs_current_main,candidate_b_above_a,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,surrogate_sensitive_not_promoted,relative_main_candidate
historical_v1_532_W600_D1500,main_660_W800_D1400,historical_vs_current_main,candidate_b_above_a,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,surrogate_sensitive_not_promoted,relative_main_candidate
historical_v1_532_W600_D1500,main_660_W800_D1500,historical_vs_current_main,candidate_b_above_a,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,surrogate_sensitive_not_promoted,relative_main_candidate
probe_404_W600_D1300,main_660_W800_D1400,shortwave_probe_vs_current_main,candidate_b_above_a,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,probe_only,relative_main_candidate
probe_404_W600_D1300,main_660_W800_D1500,shortwave_probe_vs_current_main,candidate_b_above_a,candidate_b_above_a,candidate_a_above_b,tie,tie,diagnostic_lane_unavailable_or_not_primary_gate,True,PAIRWISE.RELATIVE_ORDER_DISAGREEMENT,probe_only,relative_main_candidate
